Function,Best Solution,Best Fitness,Execution Time,Step Size,Domain,Iterations,Result,Domain_left,Domain_right,Domain_range,Domain_quantile,Step_Size_quantile
rastrigin,"[-0.0, 0.995]",0.99496,0.006,0.2,"[-0.6881, 1.2028]",172,bad,-0.6881,1.2028,1.8909000000000002,1,0
rastrigin,"[0.995, 0.995]",1.98992,0.0067,0.9,"[-0.2631, 3.7636]",190,bad,-0.2631,3.7636,4.0267,4,7
rastrigin,"[0.995, -0.995]",1.98992,0.0056,0.3,"[-4.7849, 1.1918]",170,bad,-4.7849,1.1918,5.9767,9,1
rastrigin,"[-0.995, -0.995]",1.98992,0.006,0.7,"[-4.0573, 3.961]",184,bad,-4.0573,3.961,8.0183,13,5
rastrigin,"[-0.0, 2.9849]",8.9546,0.007,0.1,"[-0.4066, 3.9038]",214,bad,-0.4066,3.9038,4.3104,5,0
rastrigin,"[0.0015, 0.0014]",0.00083,0.0185,1.0,"[-2.6724, 4.6387]",38,good,-2.6724,4.6387,7.3111,12,8
rastrigin,"[-0.0, 0.995]",0.99496,0.0085,0.7,"[-4.0609, 3.4305]",192,bad,-4.0609,3.4305,7.4914000000000005,13,5
rastrigin,"[0.0016, 0.0009]",0.00066,0.002,1.0,"[-4.419, 3.1357]",42,good,-4.419,3.1357,7.5546999999999995,13,8
rastrigin,"[-0.0016, -0.001]",0.00071,0.001,0.7,"[-0.7679, 1.8531]",37,good,-0.7679,1.8531,2.621,2,5
rastrigin,"[0.995, 0.0]",0.99496,0.0075,0.4,"[-0.2754, 1.6892]",184,bad,-0.2754,1.6892,1.9646,1,2
rastrigin,"[-0.0, -0.995]",0.99496,0.006,0.5,"[-2.5605, 2.8172]",183,bad,-2.5605,2.8172,5.377700000000001,8,3
rastrigin,"[-1.9899, -1.9899]",7.95966,0.0055,0.4,"[-3.2048, 1.2728]",180,bad,-3.2048,1.2728,4.4776,6,2
rastrigin,"[0.0008, 0.0008]",0.00029,0.0065,0.8,"[-1.4251, 0.0805]",38,good,-1.4251,0.0805,1.5056,0,6
rastrigin,"[-1.9899, 0.995]",4.97479,0.0065,0.6,"[-4.525, 3.4996]",194,bad,-4.525,3.4996,8.0246,13,4
rastrigin,"[3.9798, 3.9798]",31.83849,0.007,0.1,"[-4.0116, 4.9904]",179,bad,-4.0116,4.9904,9.001999999999999,14,0
rastrigin,"[-0.995, -1.9899]",4.97479,0.006,0.6,"[-2.8947, 0.6955]",184,bad,-2.8947,0.6955,3.5902,3,4
rastrigin,"[-0.995, -0.995]",1.98992,0.0066,0.5,"[-4.7926, 4.3245]",179,bad,-4.7926,4.3245,9.1171,14,3
rastrigin,"[0.995, 1.9899]",4.97479,0.0066,0.1,"[-1.2273, 2.4905]",189,bad,-1.2273,2.4905,3.7178,4,0
rastrigin,"[-0.995, 0.995]",1.98992,0.006,0.7,"[-4.8808, 1.6666]",192,bad,-4.8808,1.6666,6.5474,10,5
rastrigin,"[-0.0, -0.995]",0.99496,0.0101,0.8,"[-3.0795, 1.6147]",187,bad,-3.0795,1.6147,4.6942,6,6
