Function,Best Solution,Best Fitness,Execution Time,Step Size,Domain,Iterations,Result,Domain_left,Domain_right,Domain_range,Domain_quantile,Step_Size_quantile
rastrigin,"[0.0122, -0.0299]",0.20628,0.0423,0.2,"[-0.6881, 1.2028]",54,bad,-0.6881,1.2028,1.8909000000000002,1,0
rastrigin,"[0.0193, 0.0956]",1.83439,0.0372,0.9,"[-0.2631, 3.7636]",52,bad,-0.2631,3.7636,4.0267,4,7
rastrigin,"[0.9846, -0.0486]",1.48152,0.0385,0.3,"[-4.7849, 1.1918]",55,bad,-4.7849,1.1918,5.9767,9,1
rastrigin,"[-0.0173, -0.9702]",1.1757,0.0498,0.7,"[-4.0573, 3.961]",66,bad,-4.0573,3.961,8.0183,13,5
rastrigin,"[-0.011, 0.99]",1.02387,0.0382,0.1,"[-0.4066, 3.9038]",51,bad,-0.4066,3.9038,4.3104,5,0
rastrigin,"[0.0114, 0.0082]",0.03932,0.0953,1.0,"[-2.6724, 4.6387]",100,bad,-2.6724,4.6387,7.3111,12,8
rastrigin,"[-0.0198, -0.0274]",0.22599,0.1142,0.7,"[-4.0609, 3.4305]",55,bad,-4.0609,3.4305,7.4914000000000005,13,5
rastrigin,"[0.0452, -0.0338]",0.62835,0.045,1.0,"[-4.419, 3.1357]",53,bad,-4.419,3.1357,7.5546999999999995,13,8
rastrigin,"[-0.0113, 0.0053]",0.03106,0.0796,0.7,"[-0.7679, 1.8531]",106,bad,-0.7679,1.8531,2.621,2,5
rastrigin,"[-0.0325, -0.0061]",0.21576,0.0428,0.4,"[-0.2754, 1.6892]",59,bad,-0.2754,1.6892,1.9646,1,2
rastrigin,"[0.0412, 0.0441]",0.71832,0.0449,0.5,"[-2.5605, 2.8172]",54,bad,-2.5605,2.8172,5.377700000000001,8,3
rastrigin,"[0.0287, 0.0047]",0.16738,0.0446,0.4,"[-3.2048, 1.2728]",60,bad,-3.2048,1.2728,4.4776,6,2
rastrigin,"[-0.0192, -0.0085]",0.08784,0.0609,0.8,"[-1.4251, 0.0805]",51,bad,-1.4251,0.0805,1.5056,0,6
rastrigin,"[-1.0276, -0.0419]",1.55276,0.0802,0.6,"[-4.525, 3.4996]",88,bad,-4.525,3.4996,8.0246,13,4
rastrigin,"[0.0099, 0.8696]",3.94745,0.0399,0.1,"[-4.0116, 4.9904]",57,bad,-4.0116,4.9904,9.001999999999999,14,0
rastrigin,"[0.0106, -0.9851]",1.03655,0.0436,0.6,"[-2.8947, 0.6955]",60,bad,-2.8947,0.6955,3.5902,3,4
