Function,Best Solution,Best Fitness,Execution Time,Step Size,Domain,Iterations,Result,Domain_left,Domain_right,Domain_range,Domain_quantile,Step_Size_quantile
rastrigin,"[-0.6881, 1.0411]",15.68338,0.0024,0.2,"[-0.6881, 1.2028]",217,bad,-0.6881,1.2028,1.8909000000000002,1,0
rastrigin,"[1.9899, 0.0]",3.97983,0.002,0.9,"[-0.2631, 3.7636]",220,bad,-0.2631,3.7636,4.0267,4,7
rastrigin,"[-0.8724, -1.9843]",7.79066,0.0104,0.3,"[-4.7849, 1.1918]",999,good,-4.7849,1.1918,5.9767,9,1
rastrigin,"[0.0, 0.995]",0.99496,0.0026,0.7,"[-4.0573, 3.961]",184,bad,-4.0573,3.961,8.0183,13,5
rastrigin,"[0.995, 3.9038]",18.00669,0.0015,0.1,"[-0.4066, 3.9038]",141,bad,-0.4066,3.9038,4.3104,5,0
rastrigin,"[2.9849, 0.995]",9.94956,0.0085,1.0,"[-2.6724, 4.6387]",386,bad,-2.6724,4.6387,7.3111,12,8
rastrigin,"[2.9849, 0.995]",9.94956,0.003,0.7,"[-4.0609, 3.4305]",284,bad,-4.0609,3.4305,7.4914000000000005,13,5
rastrigin,"[-1.9899, -1.9899]",7.95966,0.003,1.0,"[-4.419, 3.1357]",278,bad,-4.419,3.1357,7.5546999999999995,13,8
rastrigin,"[-0.0007, -0.0034]",0.00236,0.0,0.7,"[-0.7679, 1.8531]",53,good,-0.7679,1.8531,2.621,2,5
rastrigin,"[-0.004, -0.0005]",0.0033,0.0,0.4,"[-0.2754, 1.6892]",17,good,-0.2754,1.6892,1.9646,1,2
rastrigin,"[0.0103, -0.0022]",0.02194,0.01,0.5,"[-2.5605, 2.8172]",999,good,-2.5605,2.8172,5.377700000000001,8,3
rastrigin,"[-0.995, -1.9899]",4.97479,0.0031,0.4,"[-3.2048, 1.2728]",317,bad,-3.2048,1.2728,4.4776,6,2
rastrigin,"[-0.995, -0.995]",1.98992,0.0095,0.8,"[-1.4251, 0.0805]",237,bad,-1.4251,0.0805,1.5056,0,6
rastrigin,"[-0.0, 0.995]",0.99496,0.002,0.6,"[-4.525, 3.4996]",188,bad,-4.525,3.4996,8.0246,13,4
rastrigin,"[1.9899, -0.0]",3.97983,0.003,0.1,"[-4.0116, 4.9904]",289,bad,-4.0116,4.9904,9.001999999999999,14,0
rastrigin,"[-2.8947, 0.6955]",24.32906,0.0,0.6,"[-2.8947, 0.6955]",52,bad,-2.8947,0.6955,3.5902,3,4
rastrigin,"[3.9798, -1.9899]",19.89907,0.004,0.5,"[-4.7926, 4.3245]",417,bad,-4.7926,4.3245,9.1171,14,3
rastrigin,"[-0.0044, 0.0005]",0.00393,0.001,0.1,"[-1.2273, 2.4905]",48,good,-1.2273,2.4905,3.7178,4,0
rastrigin,"[-0.995, 0.0]",0.99496,0.0048,0.7,"[-4.8808, 1.6666]",420,bad,-4.8808,1.6666,6.5474,10,5
rastrigin,"[0.9949, 0.0001]",0.99496,0.009,0.8,"[-3.0795, 1.6147]",674,bad,-3.0795,1.6147,4.6942,6,6
rastrigin,"[0.0035, 0.0023]",0.00346,0.001,0.3,"[-1.3408, 0.6329]",28,good,-1.3408,0.6329,1.9737,1,1
rastrigin,"[0.9944, 0.9965]",1.99048,0.01,0.3,"[-0.1813, 2.0283]",999,good,-0.1813,2.0283,2.2096,1,1
rastrigin,"[-1.9899, -2.9849]",12.93443,0.0025,0.7,"[-3.14, 0.1736]",174,bad,-3.14,0.1736,3.3136,3,5
rastrigin,"[-0.0047, -0.0043]",0.0081,0.001,0.6,"[-0.5392, 0.3247]",64,good,-0.5392,0.3247,0.8639,0,4
rastrigin,"[-0.995, -1.9899]",4.97479,0.0185,0.1,"[-4.92, 3.3379]",426,bad,-4.92,3.3379,8.2579,14,0
rastrigin,"[2.9849, 0.0]",8.9546,0.0038,0.4,"[-2.2595, 3.8847]",312,bad,-2.2595,3.8847,6.1442,9,2
rastrigin,"[-0.995, -2.9849]",9.94956,0.0105,0.8,"[-3.2407, 0.1792]",999,good,-3.2407,0.1792,3.4198999999999997,3,6
rastrigin,"[-0.9951, -0.9956]",1.99001,0.0075,0.6,"[-1.211, 0.4552]",737,bad,-1.211,0.4552,1.6662000000000001,0,4
rastrigin,"[-0.995, -3.9798]",16.9142,0.005,0.6,"[-4.4273, 2.1873]",249,bad,-4.4273,2.1873,6.614599999999999,10,4
rastrigin,"[-1.9344, 2.9849]",13.53447,0.002,0.3,"[-1.9344, 4.6154]",214,bad,-1.9344,4.6154,6.5498,10,1
rastrigin,"[-0.995, -2.9849]",9.94956,0.003,0.7,"[-3.9816, 4.1171]",337,bad,-3.9816,4.1171,8.0987,13,5
rastrigin,"[-0.0, -2.9849]",8.9546,0.004,0.6,"[-4.5559, 0.7877]",374,bad,-4.5559,0.7877,5.3436,8,4
rastrigin,"[2.9428, -0.002]",9.30011,0.002,1.0,"[-0.6845, 2.9428]",238,bad,-0.6845,2.9428,3.6273,3,8
rastrigin,"[-2.9849, -2.9849]",17.9092,0.0024,1.0,"[-4.8748, 3.9137]",223,bad,-4.8748,3.9137,8.788499999999999,14,8
rastrigin,"[-0.995, -2.9849]",9.94956,0.0031,0.1,"[-4.8878, 0.0345]",222,bad,-4.8878,0.0345,4.922300000000001,7,0
rastrigin,"[-0.6497, -0.0001]",16.31709,0.001,0.8,"[-0.6497, 0.3403]",177,bad,-0.6497,0.3403,0.99,0,6
rastrigin,"[-1.9899, -3.9798]",19.89907,0.002,0.5,"[-4.1808, 3.0084]",213,bad,-4.1808,3.0084,7.1892,12,3
rastrigin,"[1.9899, 1.9899]",7.95966,0.0042,0.6,"[-0.1168, 2.4328]",226,bad,-0.1168,2.4328,2.5496,1,4
rastrigin,"[1.9899, 0.995]",4.97479,0.002,0.6,"[-1.9841, 4.7925]",239,bad,-1.9841,4.7925,6.7766,11,4
rastrigin,"[0.995, -0.995]",1.98992,0.003,0.7,"[-4.0515, 4.4432]",303,bad,-4.0515,4.4432,8.4947,14,5
rastrigin,"[0.995, 0.0]",0.99496,0.0031,0.2,"[-0.7184, 2.099]",238,bad,-0.7184,2.099,2.8174,2,0
rastrigin,"[-0.0016, -0.0042]",0.00403,0.003,0.8,"[-3.4259, 0.4354]",273,good,-3.4259,0.4354,3.8613,4,6
rastrigin,"[0.995, -0.0]",0.99496,0.003,0.5,"[-0.6613, 3.7812]",295,bad,-0.6613,3.7812,4.4425,6,3
rastrigin,"[0.995, 1.9899]",4.97479,0.002,0.4,"[-1.1372, 2.3664]",221,bad,-1.1372,2.3664,3.5036,3,2
rastrigin,"[-0.0, -2.9849]",8.9546,0.004,0.4,"[-4.5681, 1.6599]",424,bad,-4.5681,1.6599,6.228,9,2
rastrigin,"[-0.995, 0.995]",1.98992,0.002,1.0,"[-3.7575, 3.9485]",205,bad,-3.7575,3.9485,7.7059999999999995,13,8
rastrigin,"[-0.0069, -0.0014]",0.00991,0.001,0.2,"[-3.1307, 3.3668]",53,good,-3.1307,3.3668,6.4975000000000005,10,0
rastrigin,"[0.995, 0.995]",1.98992,0.0078,0.3,"[-2.5763, 3.5865]",802,bad,-2.5763,3.5865,6.1628,9,1
rastrigin,"[3.9798, -0.995]",16.9142,0.005,1.0,"[-3.4926, 4.6499]",516,bad,-3.4926,4.6499,8.1425,14,8
rastrigin,"[-1.9866, 0.0035]",3.98449,0.0096,0.4,"[-2.1052, 3.4604]",999,good,-2.1052,3.4604,5.5656,8,2
rastrigin,"[0.0, -0.995]",0.99496,0.002,0.4,"[-1.3456, 1.9389]",211,bad,-1.3456,1.9389,3.2845,3,2
rastrigin,"[0.0002, -0.7184]",12.48891,0.002,0.4,"[-0.7184, 2.0214]",211,bad,-0.7184,2.0214,2.7398,2,2
rastrigin,"[-2.9849, -2.9847]",17.90921,0.0076,0.7,"[-3.5093, 0.4056]",753,bad,-3.5093,0.4056,3.9149000000000003,4,5
rastrigin,"[0.995, 0.0]",0.99496,0.002,0.3,"[-1.1734, 1.2924]",240,bad,-1.1734,1.2924,2.4657999999999998,1,1
rastrigin,"[-0.995, 0.0]",0.99496,0.002,1.0,"[-2.0345, 4.8705]",221,bad,-2.0345,4.8705,6.904999999999999,11,8
rastrigin,"[-0.995, -0.995]",1.98992,0.0016,0.8,"[-4.5535, 4.3158]",172,bad,-4.5535,4.3158,8.869299999999999,14,6
rastrigin,"[-2.9849, -0.995]",9.94956,0.005,0.1,"[-3.5404, 0.6663]",461,bad,-3.5404,0.6663,4.2067,5,0
