iteration,x,y,best_fitness,execution_time
1,8.866,9.4823,14366.2621,0.0
2,8.766,9.3823,13721.7804,0.0
3,8.666,9.2823,13098.5814,0.0
4,8.566,9.1823,12496.2079,0.0
5,8.466,9.0823,11914.2076,0.0
6,8.366,8.9823,11352.1329,0.0
7,8.266,8.8823,10809.541,0.0
8,8.166,8.7823,10285.9941,0.0
9,8.066,8.6823,9781.0588,0.0
10,7.966,8.5823,9294.307,0.0
11,7.866,8.4823,8825.315,0.0
12,7.766,8.3823,8373.664,0.0
13,7.666,8.2823,7938.9401,0.0011
14,7.566,8.1823,7520.7342,0.0
15,7.466,8.0823,7118.6418,0.0
16,7.366,7.9823,6732.2635,0.001
17,7.266,7.8823,6361.2044,0.001
18,7.166,7.7823,6005.0746,0.0
19,7.066,7.6823,5663.4889,0.0
20,6.966,7.5823,5336.067,0.001
21,6.866,7.4823,5022.4334,0.0
22,6.766,7.3823,4722.2172,0.0
23,6.666,7.2823,4435.0525,0.001
24,6.566,7.1823,4160.5781,0.001
25,6.466,7.0823,3898.4377,0.0
26,6.366,6.9823,3648.2797,0.0
27,6.266,6.8823,3409.7574,0.0004
28,6.166,6.7823,3182.5288,0.0
29,6.066,6.6823,2966.2567,0.0
30,5.966,6.5823,2760.6088,0.001
31,5.866,6.4823,2565.2575,0.0
32,5.766,6.3823,2379.8801,0.0
33,5.666,6.2823,2204.1586,0.001
34,5.566,6.1823,2037.7798,0.0
35,5.466,6.0823,1880.4354,0.0
36,5.366,5.9823,1731.8218,0.001
37,5.266,5.8823,1591.6403,0.0
38,5.166,5.7823,1459.5968,0.0015
39,5.066,5.6823,1335.4023,0.0
40,4.966,5.5823,1218.7724,0.0
41,4.866,5.4823,1109.4276,0.0011
42,4.766,5.3823,1007.0929,0.0
43,4.666,5.2823,911.4986,0.0
44,4.566,5.1823,822.3794,0.0
45,4.466,5.0823,739.475,0.001
46,4.366,4.9823,662.5299,0.001
47,4.266,4.8823,591.2931,0.0
48,4.166,4.7823,525.5189,0.001
49,4.066,4.6823,464.9661,0.001
50,3.966,4.5823,409.3982,0.0
51,3.866,4.4823,358.5837,0.001
52,3.766,4.3823,312.2959,0.0
53,3.666,4.2823,270.3128,0.0005
54,3.566,4.1823,232.4173,0.0005
55,3.466,4.0823,198.3969,0.0
56,3.366,3.9823,168.0441,0.0012
57,3.266,3.8823,141.1562,0.0
58,3.166,3.7823,117.5353,0.0
59,3.066,3.6823,96.988,0.001
60,2.966,3.5823,79.3262,0.001
61,2.866,3.4823,64.3661,0.001
62,2.766,3.3823,51.9292,0.001
63,2.666,3.2823,41.8413,0.0
64,2.566,3.1823,33.9334,0.0
65,2.566,3.0823,27.4494,0.0
66,2.666,2.9823,21.6242,0.0
67,2.666,2.8823,16.8113,0.001
68,2.666,2.7823,12.8422,0.0012
69,2.766,2.6823,9.2115,0.001
70,2.766,2.5823,6.5144,0.001
71,2.866,2.4823,4.2047,0.001
72,2.866,2.3823,2.5391,0.0
73,2.866,2.2823,1.4094,0.0
74,2.966,2.1823,0.5312,0.001
75,2.966,2.0823,0.1058,0.001
76,2.966,1.9823,0.0595,0.001
77,2.966,1.9823,0.0595,0.001
78,2.966,1.9823,0.0595,0.0007
79,2.966,1.9823,0.0595,0.0012
80,2.966,1.9823,0.0595,0.0
81,2.966,1.9823,0.0595,0.0
82,2.966,1.9823,0.0595,0.0
83,2.966,1.9823,0.0595,0.0
84,2.966,1.9823,0.0595,0.0
85,2.966,1.9823,0.0595,0.001
86,2.966,1.9823,0.0595,0.0
87,2.966,1.9823,0.0595,0.0
88,2.966,1.9823,0.0595,0.0
89,2.966,1.9823,0.0595,0.001
90,2.966,1.9823,0.0595,0.0
91,2.966,1.9823,0.0595,0.0
92,2.966,1.9823,0.0595,0.0
93,2.966,1.9823,0.0595,0.0
94,2.966,1.9823,0.0595,0.001
95,2.966,1.9823,0.0595,0.001
96,2.966,1.9823,0.0595,0.001
97,2.966,1.9823,0.0595,0.0008
98,2.966,1.9823,0.0595,0.0011
99,2.966,1.9823,0.0595,0.001
100,2.966,1.9823,0.0595,0.001
