iteration,x,y,best_fitness,execution_time
1,8.966,9.4823,190.4693,0.001
2,8.966,9.3823,186.0333,0.0
3,8.966,9.2823,178.795,0.0
4,8.966,9.1823,170.8063,0.001
5,8.966,9.0823,164.4133,0.0
6,8.966,8.9823,161.3602,0.0
7,8.966,8.9823,161.3602,0.0
8,8.966,8.9823,161.3602,0.0
9,8.966,8.9823,161.3602,0.001
10,8.966,8.9823,161.3602,0.0
11,8.966,8.9823,161.3602,0.0
12,8.966,8.9823,161.3602,0.0
13,8.966,8.9823,161.3602,0.0
14,8.966,8.9823,161.3602,0.001
15,8.966,8.9823,161.3602,0.0
16,8.966,8.9823,161.3602,0.001
17,8.966,8.9823,161.3602,0.0
18,8.966,8.9823,161.3602,0.001
19,8.966,8.9823,161.3602,0.0
20,8.966,8.9823,161.3602,0.0
21,8.966,8.9823,161.3602,0.001
22,8.966,8.9823,161.3602,0.0
23,8.966,8.9823,161.3602,0.0
24,8.966,8.9823,161.3602,0.0
25,8.966,8.9823,161.3602,0.0015
26,8.966,8.9823,161.3602,0.0
27,8.966,8.9823,161.3602,0.0012
28,8.966,8.9823,161.3602,0.001
29,8.966,8.9823,161.3602,0.0
30,8.966,8.9823,161.3602,0.0
31,8.966,8.9823,161.3602,0.001
32,8.966,8.9823,161.3602,0.001
33,8.966,8.9823,161.3602,0.001
34,8.966,8.9823,161.3602,0.0
35,8.966,8.9823,161.3602,0.0
36,8.966,8.9823,161.3602,0.0008
37,8.966,8.9823,161.3602,0.0011
38,8.966,8.9823,161.3602,0.001
39,8.966,8.9823,161.3602,0.001
40,8.966,8.9823,161.3602,0.001
41,8.966,8.9823,161.3602,0.001
42,8.966,8.9823,161.3602,0.001
43,8.966,8.9823,161.3602,0.001
44,8.966,8.9823,161.3602,0.001
45,8.966,8.9823,161.3602,0.001
46,8.966,8.9823,161.3602,0.0005
47,8.966,8.9823,161.3602,0.0
48,8.966,8.9823,161.3602,0.001
49,8.966,8.9823,161.3602,0.001
50,8.966,8.9823,161.3602,0.0
51,8.966,8.9823,161.3602,0.001
52,8.966,8.9823,161.3602,0.001
53,8.966,8.9823,161.3602,0.0
54,8.966,8.9823,161.3602,0.0
55,8.966,8.9823,161.3602,0.0011
56,8.966,8.9823,161.3602,0.0005
57,8.966,8.9823,161.3602,0.001
58,8.966,8.9823,161.3602,0.003
59,8.966,8.9823,161.3602,0.0025
60,8.966,8.9823,161.3602,0.001
61,8.966,8.9823,161.3602,0.001
62,8.966,8.9823,161.3602,0.002
63,8.966,8.9823,161.3602,0.001
64,8.966,8.9823,161.3602,0.001
65,8.966,8.9823,161.3602,0.0
66,8.966,8.9823,161.3602,0.0005
67,8.966,8.9823,161.3602,0.0011
68,8.966,8.9823,161.3602,0.001
69,8.966,8.9823,161.3602,0.001
70,8.966,8.9823,161.3602,0.001
71,8.966,8.9823,161.3602,0.0015
72,8.966,8.9823,161.3602,0.0015
73,8.966,8.9823,161.3602,0.001
74,8.966,8.9823,161.3602,0.001
75,8.966,8.9823,161.3602,0.002
76,8.966,8.9823,161.3602,0.0021
77,8.966,8.9823,161.3602,0.0015
78,8.966,8.9823,161.3602,0.0019
79,8.966,8.9823,161.3602,0.002
80,8.966,8.9823,161.3602,0.002
81,8.966,8.9823,161.3602,0.001
82,8.966,8.9823,161.3602,0.002
83,8.966,8.9823,161.3602,0.0015
84,8.966,8.9823,161.3602,0.001
85,8.966,8.9823,161.3602,0.001
86,8.966,8.9823,161.3602,0.002
87,8.966,8.9823,161.3602,0.002
88,8.966,8.9823,161.3602,0.0012
89,8.966,8.9823,161.3602,0.0015
90,8.966,8.9823,161.3602,0.002
91,8.966,8.9823,161.3602,0.001
92,8.966,8.9823,161.3602,0.001
93,8.966,8.9823,161.3602,0.002
94,8.966,8.9823,161.3602,0.002
95,8.966,8.9823,161.3602,0.002
96,8.966,8.9823,161.3602,0.002
97,8.966,8.9823,161.3602,0.0021
98,8.966,8.9823,161.3602,0.0017
99,8.966,8.9823,161.3602,0.002
100,8.966,8.9823,161.3602,0.002
