iteration,x,y,best_fitness,execution_time
1,8.866,9.4823,74793.1497,0.0
2,8.766,9.3823,69747.6563,0.0
3,8.666,9.2823,64987.8396,0.0
4,8.566,9.1823,60500.6752,0.0
5,8.466,9.0823,56273.5867,0.0
6,8.366,8.9823,52294.4352,0.0
7,8.266,8.8823,48551.5098,0.0
8,8.166,8.7823,45033.5167,0.0
9,8.066,8.6823,41729.5697,0.0
10,7.966,8.5823,38629.1801,0.0
11,7.866,8.4823,35722.2472,0.0
12,7.766,8.3823,32999.0485,0.0
13,7.666,8.2823,30450.2301,0.001
14,7.566,8.1823,28066.7977,0.0
15,7.466,8.0823,25840.1069,0.001
16,7.366,7.9823,23761.8543,0.0
17,7.266,7.8823,21824.0687,0.0
18,7.166,7.7823,20019.1016,0.0
19,7.066,7.6823,18339.619,0.0
20,6.966,7.5823,16778.5923,0.001
21,6.866,7.4823,15329.2902,0.0
22,6.766,7.3823,13985.2699,0.0
23,6.666,7.2823,12740.369,0.0
24,6.566,7.1823,11588.6974,0.0
25,6.466,7.0823,10524.6288,0.0
26,6.366,6.9823,9542.7933,0.0
27,6.266,6.8823,8638.0694,0.0
28,6.166,6.7823,7805.5761,0.0
29,6.066,6.6823,7040.6656,0.0
30,5.966,6.5823,6338.9156,0.0
31,5.866,6.4823,5696.1223,0.0
32,5.766,6.3823,5108.2925,0.001
33,5.666,6.2823,4571.6376,0.0
34,5.566,6.1823,4082.5654,0.0
35,5.466,6.0823,3637.6742,0.0005
36,5.366,5.9823,3233.7455,0.0
37,5.266,5.8823,2867.7376,0.0011
38,5.166,5.7823,2536.7791,0.0
39,5.066,5.6823,2238.1624,0.0
40,4.966,5.5823,1969.3376,0.001
41,4.866,5.4823,1727.9064,0.0
42,4.766,5.3823,1511.6157,0.0
43,4.666,5.2823,1318.3521,0.0
44,4.566,5.1823,1146.1361,0.001
45,4.466,5.0823,993.1161,0.0
46,4.366,4.9823,857.5633,0.0
47,4.266,4.8823,737.866,0.001
48,4.166,4.7823,632.5243,0.0
49,4.066,4.6823,540.145,0.0015
50,3.966,4.5823,459.4367,0.0006
51,3.866,4.4823,389.2045,0.0
52,3.766,4.3823,328.3455,0.0
53,3.666,4.2823,275.8439,0.001
54,3.566,4.1823,230.7665,0.001
55,3.466,4.0823,192.2584,0.0
56,3.366,3.9823,159.5381,0.0
57,3.266,3.8823,131.8942,0.001
58,3.166,3.7823,108.6804,0.001
59,3.066,3.6823,89.312,0.001
60,2.966,3.5823,73.262,0.0
61,2.866,3.4823,60.0572,0.0
62,2.766,3.3823,49.2749,0.001
63,2.666,3.2823,40.5389,0.0005
64,2.566,3.1823,33.5165,0.001
65,2.466,3.0823,27.9153,0.0
66,2.366,2.9823,23.4797,0.0
67,2.266,2.8823,19.9883,0.0
68,2.166,2.7823,17.2505,0.0
69,2.066,2.6823,15.1042,0.001
70,1.966,2.5823,13.413,0.001
71,1.866,2.4823,12.0635,0.001
72,1.766,2.3823,10.963,0.001
73,1.666,2.2823,10.0373,0.0
74,1.566,2.1823,9.2281,0.0005
75,1.466,2.0823,8.4917,0.001
76,1.366,1.9823,7.7963,0.0
77,1.266,1.8823,7.1206,0.0
78,1.166,1.7823,6.452,0.0011
79,1.066,1.6823,5.785,0.001
80,0.966,1.5823,5.1197,0.001
81,0.866,1.4823,4.4606,0.001
82,0.766,1.3823,3.8154,0.001
83,0.666,1.2823,3.1935,0.001
84,0.566,1.1823,2.6055,0.0005
85,0.466,1.0823,2.0623,0.0011
86,0.366,0.9823,1.574,0.001
87,0.266,0.8823,1.1495,0.001
88,0.166,0.7823,0.7962,0.001
89,0.066,0.6823,0.5193,0.001
90,-0.034,0.5823,0.3216,0.001
91,-0.134,0.4823,0.2036,0.001
92,-0.134,0.3823,0.1305,0.001
93,-0.134,0.2823,0.0774,0.001
94,-0.034,0.1823,0.0294,0.0005
95,-0.034,0.0823,0.0063,0.0012
96,-0.034,-0.0177,0.0032,0.001
97,-0.034,-0.0177,0.0032,0.001
98,-0.034,-0.0177,0.0032,0.001
99,-0.034,-0.0177,0.0032,0.001
100,-0.034,-0.0177,0.0032,0.001
