iteration,x,y,best_fitness,execution_time
1,2.5205,2.5809,9.0282,0.001
2,-3.7755,-3.2738,0.0037,0.003
3,2.8792,2.2568,1.1513,0.0035
4,3.785,-1.3896,5.4,0.004
5,2.8651,2.1704,0.7169,0.0059
6,3.2895,1.7538,2.8824,0.0076
7,-3.0041,3.3842,4.083,0.0065
8,-2.6777,3.0299,0.8876,0.0109
9,3.1592,1.9139,0.8314,0.0115
10,3.3277,-1.6716,3.3246,0.0127
11,3.5634,-1.7517,0.1385,0.012
12,3.7793,-2.1215,2.988,0.0105
13,-3.8306,-3.501,2.0644,0.0119
14,-2.8917,3.0861,0.3357,0.0195
15,2.9822,1.9448,0.0818,0.0125
16,3.6092,-1.8907,0.0523,0.0136
17,3.0613,1.9599,0.1196,0.0145
18,3.0296,1.9448,0.0505,0.016
19,3.5795,-1.7288,0.1935,0.0171
20,3.0186,1.9466,0.0404,0.0177
21,2.9537,1.9938,0.0843,0.0185
22,-3.7867,-3.2781,0.0054,0.0204
23,-2.7725,3.0777,0.1456,0.0211
24,3.6052,-1.7735,0.1124,0.0218
25,-2.8071,3.0933,0.0576,0.0237
26,-2.8574,3.1164,0.1003,0.0227
27,3.5379,-1.8935,0.157,0.0235
28,2.9855,2.0216,0.0095,0.0256
29,3.0358,2.0316,0.0882,0.0396
30,2.9957,2.0,0.0007,0.0431
31,2.9606,2.0308,0.0489,0.038
32,3.5899,-1.8617,0.0038,0.0396
33,-2.8056,3.1282,0.0004,0.0374
34,2.9896,1.9978,0.0046,0.0468
35,3.0003,2.0003,0.0,0.0369
36,3.0078,2.0089,0.005,0.0324
37,2.9985,2.0772,0.1027,0.0344
38,3.5832,-1.8483,0.0001,0.0347
39,-2.8244,3.1156,0.0224,0.042
40,2.9983,2.01,0.0015,0.0521
41,3.0,1.9992,0.0,0.0383
42,-2.8112,3.1393,0.0037,0.0378
43,-2.8018,3.1353,0.001,0.0401
44,3.0107,2.0043,0.0055,0.0398
45,3.5826,-1.8484,0.0002,0.0391
46,3.0012,1.9997,0.0,0.0399
47,3.5845,-1.8483,0.0,0.0416
48,3.5844,-1.848,0.0,0.041
49,3.5824,-1.8551,0.001,0.0416
50,3.5859,-1.8512,0.0002,0.0446
51,3.0002,2.0003,0.0,0.0455
52,2.9998,2.0003,0.0,0.0443
53,3.0,1.9996,0.0,0.0463
54,2.9998,2.0001,0.0,0.0476
55,-2.8062,3.1305,0.0001,0.0536
56,3.0031,2.0015,0.0005,0.0534
57,3.5865,-1.841,0.0011,0.049
58,3.584,-1.8469,0.0,0.0504
59,3.0002,2.0,0.0,0.0513
60,3.5846,-1.848,0.0,0.0533
61,3.5885,-1.8467,0.0009,0.0521
62,3.0,2.0,0.0,0.0559
63,-2.8049,3.1307,0.0,0.0555
64,2.9987,2.0025,0.0001,0.0563
65,3.5864,-1.8497,0.0002,0.0584
66,3.0,2.0,0.0,0.0584
67,-2.805,3.1315,0.0,0.0593
68,3.0,2.0,0.0,0.0608
69,-2.805,3.1317,0.0,0.0607
70,3.0003,1.9998,0.0,0.0633
71,3.0,2.0,0.0,0.0617
72,3.5848,-1.8479,0.0,0.0625
73,3.0,2.0,0.0,0.0648
74,3.0,2.0,0.0,0.0648
75,3.0,2.0,0.0,0.0651
76,3.0,2.0,0.0,0.068
77,3.5844,-1.8481,0.0,0.0684
78,3.0,2.0,0.0,0.0687
79,3.5844,-1.8481,0.0,0.0723
80,3.5844,-1.8481,0.0,0.0714
81,-2.8049,3.1316,0.0,0.0731
82,3.5844,-1.8481,0.0,0.0713
83,3.5844,-1.8481,0.0,0.0726
84,-2.8051,3.1313,0.0,0.0726
85,3.0,2.0,0.0,0.0741
86,3.0,2.0,0.0,0.0737
87,3.5844,-1.8481,0.0,0.0787
88,3.5844,-1.8481,0.0,0.0787
89,3.0,2.0,0.0,0.0781
90,3.5844,-1.8481,0.0,0.0786
91,3.0,2.0,0.0,0.0811
92,3.0,2.0,0.0,0.0808
93,3.0,2.0,0.0,0.0854
94,3.0,2.0,0.0,0.0814
95,3.0,2.0,0.0,0.0807
96,3.0,2.0002,0.0,0.0802
97,3.0,2.0,0.0,0.0863
98,3.0,2.0,0.0,0.0843
99,2.9998,1.9998,0.0,0.0892
100,3.0,2.0,0.0,0.0884
