iteration,x,y,best_fitness,execution_time
1,0.0162,0.9585,1.3094,0.002
2,0.0424,2.9496,9.5513,0.002
3,0.0296,-2.032,4.5037,0.003
4,-2.0626,-1.0155,6.096,0.0035
5,1.0706,0.0552,2.7131,0.005
6,-1.16,0.0229,6.0909,0.0061
7,0.8539,-0.0594,5.348,0.0065
8,0.8923,-0.0522,3.537,0.0076
9,-0.0011,-1.1046,3.3052,0.01
10,0.0411,0.0018,0.3347,0.0109
11,-0.9714,0.0369,1.3738,0.0117
12,0.0238,0.89,3.1995,0.0122
13,-1.032,-0.0096,1.2844,0.0125
14,1.061,-1.0102,2.8923,0.0136
15,-1.0122,0.9041,3.6311,0.0148
16,0.0046,-0.0396,0.3134,0.0155
17,-1.0139,1.0223,2.2085,0.0171
18,-0.0672,-0.0321,1.0864,0.0181
19,-0.0292,-0.9493,1.5736,0.0181
20,0.0215,-0.0765,1.2315,0.0195
21,0.0183,0.0608,0.7912,0.0201
22,-0.0481,0.0191,0.5289,0.0211
23,0.9579,-0.0265,1.4045,0.0227
24,1.0351,0.0395,1.6219,0.0235
25,0.0423,-0.0907,1.9431,0.0246
26,-0.0048,-0.0238,0.1167,0.0255
27,0.0117,0.025,0.1508,0.0256
28,-0.0139,0.0217,0.1319,0.028
29,-0.9421,0.0315,1.7391,0.0291
30,-0.0378,-0.0133,0.3176,0.0287
31,-0.0474,-0.9943,1.4379,0.0305
32,0.0351,-0.0157,0.2929,0.0307
33,-0.0219,0.0449,0.493,0.0322
34,-0.9918,-0.0317,1.1953,0.0337
35,-0.0126,0.0083,0.0453,0.0342
36,-0.0044,0.0065,0.0121,0.0351
37,0.0001,-0.0009,0.0002,0.0346
38,0.0227,0.0137,0.1398,0.0377
39,-0.0019,0.0022,0.0016,0.0383
40,0.0077,0.0176,0.0733,0.0386
41,0.0105,-0.0068,0.0313,0.0395
42,0.0097,-0.0012,0.0188,0.0405
43,0.0063,-0.0395,0.3156,0.0423
44,0.0112,-0.004,0.0282,0.0438
45,-0.0122,-0.0147,0.0727,0.0427
46,0.0018,-0.001,0.0008,0.0488
47,-0.0048,-0.0059,0.0114,0.0459
48,0.0104,-0.0248,0.1434,0.0467
49,0.0008,0.0002,0.0001,0.0481
50,-0.0001,0.0009,0.0002,0.0516
51,-0.0035,0.0075,0.0135,0.0508
52,-0.0006,-0.0008,0.0002,0.0513
53,0.0008,-0.0011,0.0004,0.0512
54,0.0028,-0.0036,0.0041,0.053
55,-0.0,0.0003,0.0,0.0535
56,-0.0015,0.0006,0.0005,0.0541
57,-0.0047,0.0059,0.0113,0.0532
58,-0.9939,-0.0001,0.9952,0.0545
59,-0.0003,-0.0003,0.0,0.058
60,-0.0001,0.0027,0.0014,0.0581
61,-0.0005,-0.0002,0.0001,0.0595
62,0.0022,-0.0029,0.0027,0.0618
63,-0.0002,-0.0012,0.0003,0.061
64,-0.0035,0.0033,0.0046,0.0648
65,0.0001,-0.0002,0.0,0.0647
66,0.0,-0.0,0.0,0.0651
67,-0.0001,0.0002,0.0,0.066
68,0.9949,0.0001,0.995,0.065
69,-0.0028,0.0017,0.0022,0.0659
70,0.0002,-0.0,0.0,0.0708
71,0.0004,-0.0019,0.0007,0.0686
72,-0.0,-0.0,0.0,0.0688
73,0.0001,-0.0,0.0,0.0707
74,0.0001,0.0,0.0,0.072
75,0.0,0.0,0.0,0.0705
76,0.0,-0.0,0.0,0.0724
77,0.995,0.0,0.995,0.0791
78,-0.0,0.0,0.0,0.0733
79,0.0,-0.0,0.0,0.0963
80,0.0,-0.0,0.0,0.0784
81,-0.0,0.0,0.0,0.0775
82,-0.0,0.0,0.0,0.0778
83,-0.0,0.0,0.0,0.0789
84,-0.0,0.0,0.0,0.0804
85,-0.0,-0.0,0.0,0.0821
86,-0.0,0.0,0.0,0.0813
87,-0.0001,-0.0,0.0,0.0836
88,-0.0,0.0,0.0,0.0843
89,-0.0,0.0,0.0,0.0911
90,-0.0,0.0,0.0,0.0872
91,-0.0,0.0,0.0,0.0893
92,0.0,-0.0,0.0,0.0963
93,0.0,-0.0,0.0,0.0892
94,0.0,-0.0,0.0,0.0906
95,-0.0,-0.0,0.0,0.0953
96,-0.0,-0.0,0.0,0.0927
97,-0.0,-0.0,0.0,0.0935
98,0.0,-0.0,0.0,0.0974
99,0.0,0.0,0.0,0.0952
100,-0.0,-0.0,0.0,0.0949
