iteration,x,y,best_fitness,execution_time
1,-0.5295,0.5034,0.4688,0.001
2,0.2329,-0.0622,0.0948,0.0036
3,0.7417,-0.7911,0.8494,0.002
4,-0.4005,0.5872,0.4041,0.0036
5,0.0442,0.4989,0.2749,0.005
6,-0.0845,0.1388,0.0218,0.0056
7,-0.2598,0.4088,0.1912,0.0061
8,-0.2266,0.372,0.154,0.0081
9,-0.0188,0.1588,0.0229,0.0086
10,-0.1263,0.1183,0.0307,0.0096
11,0.109,0.0899,0.0415,0.0106
12,-0.0923,0.2091,0.0414,0.0116
13,0.0794,-0.124,0.0181,0.0119
14,0.0414,-0.0568,0.0043,0.0133
15,-0.008,-0.0377,0.0018,0.0136
16,-0.011,-0.027,0.0013,0.015
17,-0.1306,0.104,0.0311,0.0196
18,-0.0114,0.0438,0.0017,0.0176
19,0.0035,0.0561,0.0034,0.0179
20,0.0077,-0.0306,0.0008,0.0183
21,0.0022,0.0086,0.0001,0.0197
22,0.006,-0.0069,0.0001,0.0189
23,0.0299,-0.0004,0.0018,0.02
24,-0.0051,0.0015,0.0,0.0212
25,-0.0002,0.0006,0.0,0.0219
26,0.001,-0.0002,0.0,0.0238
27,0.0033,0.0053,0.0001,0.0252
28,0.0036,-0.0033,0.0,0.0258
29,0.0018,-0.0019,0.0,0.0272
30,-0.0033,-0.0023,0.0,0.0262
31,-0.0029,0.0043,0.0,0.027
32,0.0022,-0.0009,0.0,0.0285
33,-0.0017,0.0017,0.0,0.0286
34,-0.0008,0.0003,0.0,0.0301
35,0.0009,-0.0006,0.0,0.0316
36,0.0004,-0.0001,0.0,0.0321
37,-0.0001,-0.0001,0.0,0.0435
38,-0.001,-0.0016,0.0,0.0342
39,-0.0,0.0002,0.0,0.0361
40,0.0,0.0001,0.0,0.0357
41,0.0002,0.001,0.0,0.0358
42,0.0,0.0,0.0,0.038
43,0.0002,-0.0,0.0,0.0385
44,0.0,-0.0001,0.0,0.0399
45,0.0001,0.0001,0.0,0.0399
46,-0.0,-0.0,0.0,0.0402
47,-0.0,-0.0,0.0,0.0421
48,0.0001,-0.0004,0.0,0.0433
49,0.0,-0.0002,0.0,0.0448
50,-0.0,0.0,0.0,0.0453
51,-0.0,-0.0,0.0,0.047
52,0.0001,0.0001,0.0,0.0478
53,0.0,0.0,0.0,0.0481
54,0.0,0.0,0.0,0.0479
55,0.0,-0.0,0.0,0.0486
56,-0.0,-0.0,0.0,0.0508
57,-0.0001,0.0,0.0,0.0511
58,0.0,-0.0,0.0,0.0515
59,0.0,0.0,0.0,0.0536
60,-0.0,0.0,0.0,0.055
61,-0.0,0.0,0.0,0.0544
62,0.0,-0.0,0.0,0.0563
63,0.0,-0.0,0.0,0.0568
64,0.0,-0.0,0.0,0.0575
65,-0.0,0.0,0.0,0.057
66,-0.0,0.0,0.0,0.0611
67,-0.0,0.0,0.0,0.0589
68,0.0,-0.0,0.0,0.0594
69,-0.0,0.0,0.0,0.06
70,0.0,-0.0,0.0,0.064
71,0.0,-0.0,0.0,0.0695
72,-0.0,0.0,0.0,0.0661
73,0.0,-0.0,0.0,0.0653
74,-0.0,0.0,0.0,0.0668
75,-0.0,0.0,0.0,0.0648
76,0.0,0.0,0.0,0.0729
77,-0.0,-0.0,0.0,0.0703
78,0.0,0.0,0.0,0.0703
79,-0.0,-0.0,0.0,0.0717
80,0.0,-0.0,0.0,0.0737
81,-0.0,0.0,0.0,0.072
82,0.0,-0.0,0.0,0.0726
83,0.0,-0.0,0.0,0.0756
84,0.0,-0.0,0.0,0.0751
85,-0.0,0.0,0.0,0.0802
86,0.0,0.0,0.0,0.0795
87,0.0,-0.0,0.0,0.0789
88,0.0,-0.0,0.0,0.0775
89,0.0,-0.0,0.0,0.08
90,0.0,-0.0,0.0,0.088
91,0.0,-0.0,0.0,0.0844
92,-0.0,-0.0,0.0,0.1304
93,-0.0,-0.0,0.0,0.0911
94,0.0,-0.0,0.0,0.0844
95,0.0,-0.0,0.0,0.0868
96,0.0,0.0,0.0,0.0846
97,0.0,0.0,0.0,0.0887
98,-0.0,0.0,0.0,0.094
99,0.0,-0.0,0.0,0.0902
100,-0.0,-0.0,0.0,0.155
