iteration,x,y,best_fitness,execution_time
1,8.9792,9.4927,14740.7338,0.0
2,8.917,9.4653,14454.7559,0.0
3,8.9645,9.5611,14949.3129,0.0
4,8.8955,9.6167,14952.4357,0.0
5,8.9721,9.5254,14839.4412,0.0
6,8.8133,9.5097,14314.3181,0.0
7,8.8958,9.5916,14858.2112,0.0
8,8.7948,9.4751,14135.8007,0.0
9,8.9518,9.4972,14675.8436,0.0
10,8.6732,9.3712,13426.5327,0.0
11,9.0318,9.3261,14308.4043,0.0
12,8.9372,9.4045,14298.8256,0.0
13,8.891,9.4156,14201.8787,0.0
14,8.9723,9.3059,14058.2875,0.0015
15,8.6668,9.4192,13579.7068,0.0
16,8.8705,9.2579,13593.7346,0.0
17,8.6864,9.1643,12762.6192,0.0
18,8.8596,9.4272,14152.43,0.0
19,8.5942,9.3702,13212.3712,0.0
20,8.8887,9.4538,14333.3558,0.0
21,8.9015,9.428,14277.8431,0.001
22,8.6164,9.1681,12586.3924,0.0
23,8.8673,9.3918,14049.4252,0.001
24,8.788,9.2895,13466.2267,0.0
25,8.5213,9.2977,12771.5049,0.0
26,8.8005,9.3445,13692.0441,0.001
27,8.4984,9.2088,12413.6221,0.0
28,8.4547,9.3508,12783.3174,0.0015
29,8.746,9.3257,13472.8905,0.001
30,8.796,9.3739,13782.7898,0.0
31,8.5084,9.2472,12567.8658,0.0
32,8.7119,9.3328,13403.982,0.0013
33,8.7701,9.4646,14033.0448,0.001
34,8.5039,8.9863,11715.4032,0.0
35,8.7837,9.2326,13262.724,0.0
36,8.4778,9.0653,11895.9947,0.001
37,8.4869,9.1958,12342.7961,0.001
38,8.5698,9.2991,12905.6832,0.001
39,8.774,9.2678,13355.2964,0.0
40,8.666,9.3197,13234.4836,0.0
41,8.5922,9.2228,12707.2983,0.0
42,8.8156,9.3139,13631.7035,0.0011
43,8.6715,9.4088,13561.0121,0.001
44,8.8331,8.9693,12553.6216,0.001
45,8.7613,9.2064,13114.1792,0.001
46,8.7718,9.1671,13012.8574,0.001
47,8.9295,9.4204,14339.3236,0.0
48,8.8589,9.3413,13852.6404,0.001
49,8.8207,9.4198,14019.4938,0.001
50,8.5222,9.2599,12650.29,0.0
51,8.749,9.3806,13677.2838,0.0001
52,8.9708,9.1713,13605.608,0.001
53,8.872,9.2969,13737.8723,0.001
54,8.8535,9.42,14116.0178,0.001
55,8.6641,9.3224,13241.1332,0.001
56,8.6477,9.3067,13142.8242,0.001
57,8.7253,9.1347,12779.133,0.0
58,8.586,9.0561,12151.8211,0.001
59,8.9266,9.4691,14508.167,0.001
60,8.5278,9.1153,12189.4745,0.001
61,8.8458,9.3331,13788.6712,0.001
62,8.6563,9.0911,12451.4072,0.001
63,8.5826,9.4685,13538.6306,0.001
64,8.7252,9.3928,13656.5064,0.001
65,8.9247,9.1336,13347.5499,0.001
66,8.4409,9.1559,12101.0401,0.0007
67,8.6677,9.1068,12533.9938,0.0016
68,8.8105,9.2752,13489.9879,0.001
69,8.5493,9.0122,11919.7529,0.001
70,8.7402,9.4489,13899.6071,0.001
71,8.6291,8.9404,11907.2135,0.002
72,8.9223,9.2857,13851.3988,0.0
73,8.622,9.4458,13564.4082,0.001
74,8.5849,9.2555,12803.9471,0.0014
75,8.9181,9.37,14132.1843,0.002
76,8.7566,9.2858,13374.7329,0.001
77,8.7597,9.2971,13422.7243,0.002
78,8.679,8.7526,11480.3786,0.001
79,8.4464,9.2224,12336.6185,0.002
80,8.6378,9.2348,12877.0217,0.0016
81,8.8257,9.3294,13722.2512,0.002
82,8.5096,9.0102,11813.3607,0.001
83,8.4248,9.205,12225.0586,0.002
84,8.8541,9.2946,13684.8124,0.002
85,8.815,9.3366,13714.9209,0.0015
86,8.866,9.2486,13561.7601,0.0013
87,8.7979,9.0359,12670.8558,0.002
88,8.8421,9.3206,13739.5587,0.001
89,8.4398,8.993,11583.9769,0.001
90,8.8108,9.2244,13323.0239,0.002
91,8.8785,9.1364,13226.3222,0.0015
92,8.4023,9.3368,12610.9543,0.0022
93,8.1913,8.9802,10949.8984,0.001
94,8.7383,9.4901,14047.5838,0.002
95,8.7398,9.1631,12920.0136,0.002
96,8.6322,9.0929,12399.0858,0.0015
97,8.6035,9.2454,12823.5993,0.001
98,8.7402,9.364,13603.9379,0.0025
99,8.6768,9.1494,12702.9363,0.002
100,8.4492,9.1979,12266.2342,0.001
