iteration,x,y,best_fitness,execution_time
1,8.9857,9.6267,190.6437,0.0
2,8.9928,9.6172,190.9747,0.0
3,8.901,9.6775,189.3459,0.0008
4,8.9132,9.6379,191.0353,0.0
5,8.966,9.5823,191.1292,0.001
6,8.8748,9.7266,188.7353,0.0
7,8.966,9.5823,191.1292,0.0
8,8.966,9.5823,191.1292,0.0
9,8.9467,9.6987,189.5722,0.0
10,8.9416,9.7495,187.2414,0.001
11,8.9371,9.7209,188.6926,0.0
12,8.9033,9.8595,184.2198,0.001
13,8.966,9.5823,191.1292,0.0
14,8.966,9.5823,191.1292,0.0
15,8.9298,9.8227,184.6983,0.001
16,8.933,9.9,182.8858,0.0005
17,8.9643,9.7498,188.5691,0.0005
18,8.937,9.9545,182.0515,0.001
19,8.9161,9.682,188.9324,0.001
20,8.9878,9.7693,186.9707,0.0
21,8.966,9.5823,191.1292,0.0005
22,8.9056,9.67,189.7301,0.001
23,8.9679,9.866,184.7647,0.0
24,8.946,9.8557,183.6755,0.0
25,9.0082,9.6542,190.6072,0.001
26,8.9635,9.9012,183.1925,0.001
27,8.8689,9.8296,185.6015,0.0
28,8.9685,9.7525,187.1282,0.0015
29,8.928,9.9312,183.1421,0.001
30,8.8907,9.8189,186.7657,0.0001
31,8.966,9.5823,191.1292,0.001
32,8.966,9.5823,191.1292,0.001
33,9.0054,9.6284,190.9204,0.001
34,8.9899,9.8143,185.736,0.001
35,8.9086,9.2038,176.7102,0.001
36,8.9133,9.8526,185.6052,0.001
37,8.9532,9.0399,167.3525,0.001
38,8.966,9.5823,191.1292,0.0012
39,8.966,9.5823,191.1292,0.0012
40,8.966,9.5823,191.1292,0.001
41,9.0288,9.8771,185.1559,0.001
42,8.966,9.5823,191.1292,0.001
43,8.8433,9.7308,189.9101,0.0
44,8.9871,9.9276,183.6439,0.001
45,8.966,9.5823,191.1292,0.0
46,8.966,9.5823,191.1292,0.001
47,8.9531,9.8529,184.9182,0.001
48,8.966,9.5823,191.1292,0.001
49,8.8759,9.9053,184.3793,0.001
50,8.966,9.5823,191.1292,0.001
51,8.966,9.5823,191.1292,0.001
52,8.966,9.5823,191.1292,0.0015
53,8.9295,9.7443,188.1332,0.001
54,8.9153,9.8857,184.528,0.001
55,8.9683,9.8141,185.7237,0.001
56,8.9287,9.8473,185.5803,0.001
57,8.9196,9.6474,190.0808,0.001
58,8.966,9.5823,191.1292,0.001
59,8.966,9.5823,191.1292,0.0
60,8.9207,9.8197,186.0534,0.0025
61,8.966,9.5823,191.1292,0.0011
62,8.966,9.5823,191.1292,0.0021
63,8.9061,9.8716,182.4995,0.001
64,8.9408,9.801,185.8432,0.001
65,8.966,9.5823,191.1292,0.001
66,8.9453,9.6447,190.5411,0.0015
67,9.0089,9.937,182.415,0.002
68,8.966,9.5823,191.1292,0.001
69,8.9655,9.9081,181.9394,0.001
70,8.9869,9.811,184.4707,0.002
71,8.9583,9.9027,182.5767,0.001
72,8.966,9.5823,191.1292,0.0021
73,8.9531,9.6445,190.1485,0.0017
74,8.966,9.5823,191.1292,0.001
75,8.9802,9.6469,190.7855,0.002
76,8.9497,9.9523,183.1448,0.001
77,8.9671,9.9053,183.1409,0.0015
78,8.966,9.5823,191.1292,0.0012
79,9.038,9.8118,186.5774,0.002
80,8.966,9.5823,191.1292,0.002
81,8.9948,9.8024,186.6587,0.002
82,8.9426,9.8283,185.1826,0.0025
83,9.0626,9.8006,187.9452,0.0012
84,8.9567,9.7952,186.8002,0.002
85,8.8933,9.6396,190.7641,0.002
86,9.028,9.6794,189.8327,0.002
87,8.966,9.5823,191.1292,0.002
88,8.8732,9.6904,190.0715,0.002
89,8.9907,9.7181,189.406,0.0013
90,8.966,9.5823,191.1292,0.001
91,8.9618,9.7728,185.4522,0.002
92,8.966,9.5823,191.1292,0.001
93,8.9346,9.7894,185.7713,0.001
94,8.9601,9.1622,174.2196,0.002
95,8.9661,9.9229,183.5001,0.002
96,8.982,9.8896,183.734,0.0021
97,8.9778,9.7109,188.5919,0.0019
98,8.9157,9.8597,184.7945,0.002
99,8.966,9.5823,191.1292,0.002
100,8.966,9.5823,191.1292,0.0021
