iteration,x,y,best_fitness,execution_time
1,8.966,9.5823,80137.803,0.0
2,8.8355,9.5662,73227.3055,0.0
3,8.966,9.5823,80137.803,0.0
4,8.9556,9.6377,79568.1856,0.0
5,8.8964,9.6243,76390.8984,0.0
6,8.8571,9.5431,74337.4042,0.0
7,8.8464,9.5805,73785.2469,0.0
8,8.8011,9.5381,71490.3895,0.0
9,8.8537,9.6752,74163.2317,0.0
10,8.9184,9.5685,77559.7293,0.001
11,8.7086,9.5183,66987.9657,0.0
12,8.7309,9.5385,68052.1598,0.001
13,8.758,9.5166,69364.8209,0.0
14,8.574,9.7027,60866.1982,0.0
15,8.6926,9.4953,66233.9019,0.001
16,8.5438,9.6054,59553.0539,0.0
17,8.7301,9.5059,68012.6488,0.0005
18,8.541,9.6379,59434.3177,0.0005
19,8.5549,9.5188,60033.0845,0.0
20,8.7391,9.5279,68446.3971,0.0013
21,8.5495,9.4723,59796.6832,0.001
22,8.6424,9.5291,63915.0948,0.0
23,8.5767,9.7079,60986.8577,0.001
24,8.6492,9.6281,64230.294,0.0
25,8.6378,9.5747,63707.1871,0.0
26,8.744,9.4326,68683.6038,0.001
27,8.6422,9.5845,63911.7596,0.001
28,8.3756,9.3246,52678.229,0.0
29,8.9209,9.5613,77697.1556,0.0
30,8.7205,9.6417,67559.4956,0.0005
31,8.5865,9.5815,61414.0571,0.0
32,8.6771,9.7145,65517.3732,0.0
33,8.5012,9.4512,57748.3744,0.0
34,8.6442,9.715,64005.4359,0.0015
35,8.4324,9.6651,54933.2024,0.001
36,8.5755,9.7084,60937.429,0.001
37,8.5702,9.6281,60701.2904,0.0
38,8.532,9.8815,59060.4964,0.0
39,8.5619,9.5025,60339.0793,0.0
40,8.6209,9.3928,62943.5811,0.0
41,8.1817,9.3355,45593.7677,0.0006
42,8.593,9.7018,61706.6104,0.0012
43,8.7396,9.5534,68477.2035,0.001
44,8.6257,9.7567,63169.1324,0.001
45,8.5589,9.6335,60211.2666,0.001
46,8.5411,9.3998,59436.8993,0.001
47,8.6102,9.6849,62472.3826,0.001
48,7.9823,9.7523,39159.4211,0.0
49,8.5107,9.6894,58154.9123,0.0
50,8.7941,9.5393,71148.7737,0.001
51,8.4365,9.5113,55097.5969,0.001
52,8.5344,9.4098,59152.2813,0.001
53,8.5905,9.5628,61594.282,0.001
54,8.4007,9.4792,53671.2196,0.001
55,8.3713,9.6315,52525.8533,0.001
56,8.3711,9.7517,52521.8737,0.001
57,8.3356,9.6541,51159.7834,0.001
58,8.6861,9.8434,65947.9397,0.0011
59,8.2562,9.7852,48233.4668,0.0012
60,8.3382,9.6026,51258.4335,0.0008
61,8.6896,9.6559,66104.6387,0.001
62,8.3972,9.7052,53539.7685,0.001
63,8.6215,9.6668,62981.6653,0.001
64,8.4825,9.5572,56979.6039,0.001
65,8.6118,9.3487,62537.1897,0.0016
66,8.5143,9.6336,58307.629,0.001
67,8.397,9.4217,53523.889,0.002
68,8.5548,9.5344,60035.0431,0.001
69,8.2657,9.6969,48574.1089,0.002
70,8.7051,9.6136,66835.1979,0.001
71,8.7118,9.5171,67153.4964,0.001
72,8.2418,9.8266,47719.0827,0.002
73,8.5787,9.5499,61077.0763,0.0012
74,8.4393,9.8259,55222.443,0.001
75,8.3616,9.6841,52157.1923,0.002
76,8.8589,9.5335,74441.8051,0.001
77,8.6042,9.4521,62202.116,0.002
78,8.4637,9.6686,56208.058,0.0016
79,8.5016,9.6426,57777.5553,0.0005
80,8.5112,9.6067,58179.2629,0.001
81,8.0041,9.4552,39822.5902,0.002
82,8.3015,9.4207,49881.8245,0.001
83,8.0622,9.1867,41635.72,0.002
84,8.3797,9.4799,52852.787,0.0015
85,8.6527,9.4859,64397.7063,0.0024
86,8.4335,9.5318,54983.2704,0.001
87,8.1498,9.7812,44527.3754,0.001
88,8.295,9.6928,49650.9437,0.002
89,8.3662,9.5395,52333.9194,0.001
90,8.1362,9.1058,44052.319,0.0026
91,8.5991,9.6191,61984.1348,0.001
92,8.481,9.4382,56918.0056,0.002
93,8.3456,9.274,51539.7572,0.002
94,8.3495,9.7338,51699.2891,0.002
95,8.5851,9.5978,61366.2465,0.0015
96,8.2642,9.8228,48528.1066,0.0017
97,8.4369,9.7738,55129.8529,0.002
98,8.589,9.7792,61541.7706,0.001
99,8.3829,9.6975,52988.5065,0.001
100,8.7036,9.567,66772.1466,0.0015
