iteration,x,y,best_fitness,execution_time
1,3.7632,1.7756,24.3861,0.0
2,3.3027,2.0354,3.9735,0.001
3,3.175,1.7375,1.3195,0.001
4,3.886,-1.8271,5.2192,0.001
5,2.9633,2.0427,0.0494,0.001
6,-3.9292,-3.4201,1.6273,0.001
7,3.0113,2.4249,3.8201,0.0015
8,3.0424,1.6011,1.9635,0.0011
9,3.8233,-2.2076,4.8666,0.001
10,-3.6389,-3.1737,1.1903,0.002
11,3.5581,-1.9235,0.1361,0.002
12,2.9656,2.1362,0.2845,0.0025
13,2.9905,1.717,1.2416,0.003
14,3.569,-2.2396,2.7639,0.003
15,2.8037,2.2673,1.652,0.002
16,3.2666,1.671,2.6866,0.0046
17,3.2511,1.7017,2.3439,0.0026
18,2.7447,1.9442,2.5444,0.003
19,3.3666,-1.9242,2.5328,0.0036
20,3.5367,-1.7184,0.3048,0.003
21,-3.6606,-3.3176,0.9618,0.0046
22,3.1778,2.0616,1.5288,0.0054
23,-2.6766,3.2746,1.4104,0.0045
24,-3.6289,-3.1298,1.6175,0.004
25,3.5378,-1.5974,0.8357,0.0046
26,3.5565,-2.0215,0.5523,0.005
27,-2.8042,3.3427,1.9178,0.0046
28,3.1228,1.7946,0.7296,0.005
29,3.0254,2.0283,0.0523,0.0055
30,3.0345,1.7797,0.6375,0.005
31,3.1787,1.5232,2.6471,0.0056
32,-2.8824,3.115,0.2113,0.0065
33,3.2221,0.9152,8.7336,0.005
34,3.5478,-1.9697,0.3292,0.0066
35,3.0754,1.9681,0.1844,0.007
36,3.35,-1.7371,2.6951,0.006
37,-2.8699,3.0697,0.293,0.0075
38,3.0934,1.7454,0.8389,0.0066
39,-2.8278,2.9799,0.8993,0.0125
40,-2.979,3.0714,1.1928,0.0076
41,3.5725,-1.7091,0.2593,0.007
42,3.4832,-1.874,0.5492,0.0065
43,3.5972,-1.9943,0.333,0.0076
44,3.1208,1.6151,1.74,0.0085
45,3.4548,-1.6112,1.3573,0.0086
46,3.5762,-1.8831,0.0238,0.0085
47,-3.7517,-3.231,0.122,0.008
48,3.6959,-1.8542,0.667,0.009
49,-3.7375,-3.2264,0.1739,0.011
50,-2.7419,3.1374,0.1291,0.009
51,-3.7035,-3.3134,0.4322,0.0085
52,2.8932,2.2581,1.1228,0.0096
53,3.1744,1.8343,1.0421,0.0085
54,3.6721,-1.954,0.5219,0.0107
55,3.2094,1.8786,1.4576,0.009
56,3.5761,-1.8668,0.0099,0.0095
57,3.5903,-1.6921,0.3381,0.0133
58,3.5382,-1.9371,0.2593,0.013
59,-2.9686,3.0675,1.0877,0.0107
60,3.5437,-1.7502,0.1916,0.0094
61,-3.856,-3.4966,2.0156,0.0105
62,3.0737,1.7944,0.5574,0.0096
63,3.5776,-1.8071,0.0246,0.0112
64,-3.6517,-3.1663,1.0826,0.0116
65,3.5105,-1.8007,0.2887,0.0116
66,-3.9624,-3.3322,1.8929,0.0121
67,2.9265,2.5215,5.2267,0.0118
68,3.604,-1.8131,0.0426,0.0131
69,3.6136,-2.072,0.8225,0.0121
70,2.9476,2.1195,0.2305,0.0121
71,-3.7062,-3.3289,0.4928,0.0165
72,3.0647,1.5879,1.9997,0.0125
73,3.4632,-1.6907,0.9458,0.0125
74,3.1647,1.8217,0.9678,0.0126
75,-3.8357,-3.3311,0.2131,0.0135
76,2.738,2.112,1.9747,0.0131
77,2.9046,2.2433,0.9801,0.0125
78,-3.8888,-3.4054,1.0156,0.0125
79,2.87,2.1949,0.7959,0.0131
80,3.5933,-1.7452,0.1579,0.0135
81,3.6119,-1.9924,0.3411,0.0141
82,-3.7778,-3.1545,0.6978,0.015
83,3.5175,-1.5713,1.0666,0.0135
84,3.1086,2.032,0.5399,0.0141
85,2.9163,2.1825,0.5597,0.0151
86,2.8645,1.9664,0.7584,0.0152
87,-2.8967,3.1928,0.4287,0.0151
88,2.6949,2.1027,2.6863,0.0156
89,-2.7187,3.2403,0.7453,0.0156
90,2.7107,2.2389,2.5206,0.0155
91,-2.7611,3.1235,0.0638,0.0151
92,3.5322,-1.748,0.2438,0.0166
93,-2.8237,2.9962,0.717,0.0177
94,-2.7935,3.2227,0.3513,0.0159
95,3.0208,1.8773,0.2069,0.0167
96,-2.8653,2.9717,1.1025,0.0166
97,3.4581,-1.765,0.8328,0.0171
98,3.0947,1.8135,0.5328,0.017
99,3.543,-1.8996,0.143,0.0175
100,2.9563,2.2621,1.1526,0.0177
