iteration,x,y,best_fitness,execution_time
1,-1.0378,-2.1436,9.7512,0.001
2,-0.0687,0.1186,3.5877,0.001
3,2.8574,-0.0557,12.5265,0.002
4,-2.0962,-0.996,7.1621,0.0024
5,-0.0739,-0.0671,1.9433,0.003
6,0.9936,-0.8967,3.834,0.002
7,-0.0354,-0.9837,1.2669,0.0026
8,0.1576,0.0514,5.0618,0.003
9,-1.1023,1.9756,7.2298,0.003
10,-0.9982,-0.8759,4.6521,0.0025
11,0.8929,2.0075,7.0194,0.003
12,0.0509,-0.9684,1.6445,0.0046
13,-0.1032,0.0226,2.1399,0.004
14,-1.1365,0.0031,4.7501,0.005
15,0.9048,0.0223,2.6538,0.0065
16,-0.9034,0.8538,7.2616,0.0056
17,-0.9647,-0.0293,1.3453,0.005
18,-2.0544,-0.0181,4.8626,0.0055
19,1.0506,0.1869,7.7777,0.005
20,-1.9582,-1.9743,8.2059,0.006
21,-0.9349,0.0736,2.7554,0.0066
22,-0.9619,-1.0047,2.2245,0.0075
23,0.1338,-1.0362,4.6787,0.0076
24,-1.9744,-1.0017,5.0313,0.0076
25,0.0242,0.9715,1.219,0.0071
26,-0.1017,-0.0013,1.9825,0.0076
27,1.0478,0.0204,1.6291,0.0088
28,-0.0112,0.0304,0.2075,0.0082
29,1.0351,-0.0015,1.3147,0.009
30,0.9956,0.1278,4.0672,0.0091
31,-0.9381,-1.0087,2.6599,0.0089
32,-0.0087,0.959,1.2654,0.0087
33,0.0504,-0.0507,1.0049,0.0102
34,0.9737,0.0088,1.0995,0.0109
35,-1.1111,0.1204,6.3174,0.0118
36,-0.9207,-1.0087,3.0948,0.0107
37,0.0451,1.0634,2.3153,0.0146
38,2.0477,0.0009,4.6385,0.0198
39,0.0316,0.0274,0.3466,0.0122
40,-0.0219,1.0361,1.4244,0.0197
41,-0.9956,-0.0214,1.0861,0.0122
42,1.012,-1.9532,5.2963,0.0129
43,0.0001,-0.9739,1.0826,0.0129
44,-0.9153,-0.0408,2.548,0.0135
45,0.9632,0.0128,1.2258,0.014
46,-0.916,1.0131,3.2604,0.0135
47,0.0183,0.0706,1.0397,0.0151
48,0.8845,0.0333,3.5199,0.0131
49,0.8635,0.9835,5.2236,0.0156
50,-0.0235,1.9715,4.156,0.0156
51,-0.0453,-0.0351,0.648,0.0158
52,1.0764,1.0158,3.3698,0.0147
53,1.0535,0.0644,2.4813,0.0171
54,-0.024,-0.0019,0.1152,0.0153
55,0.0639,-1.0358,2.124,0.0162
56,0.987,-0.0772,2.1663,0.0165
57,-0.9637,-1.0028,2.1949,0.0181
58,-0.0054,-0.081,1.2812,0.0167
59,0.0001,-1.0038,1.0103,0.0178
60,-1.0313,0.0019,1.2571,0.0175
61,-0.0592,1.1146,4.4151,0.0195
62,0.0625,-0.0088,0.7809,0.0185
63,-0.9601,0.9842,2.2518,0.0191
64,0.9959,1.0212,2.1265,0.0191
65,-2.0689,-0.0166,5.256,0.0192
66,-0.0512,0.0002,0.5165,0.0202
67,0.1159,0.0008,2.5504,0.02
68,0.9614,0.9631,2.4124,0.02
69,-0.1209,1.0185,3.8704,0.0217
70,-0.9256,-0.9074,4.3978,0.0211
71,0.0722,0.9894,2.0166,0.0199
72,0.0323,-0.9989,1.2045,0.0212
73,1.0058,0.04,1.3337,0.0222
74,1.0618,1.0315,3.1323,0.0227
75,0.0293,1.0079,1.1985,0.0221
76,-0.0058,0.0144,0.0476,0.0226
77,-1.0102,0.9859,2.0523,0.0222
78,1.0874,-0.9777,3.7072,0.0226
79,-1.008,1.0162,2.113,0.0248
80,-1.0714,0.0603,2.8507,0.0248
81,1.0013,-0.0683,1.9148,0.0238
82,-0.0282,-1.0368,1.4986,0.0241
83,0.0293,0.0163,0.2228,0.0321
84,0.0545,1.0659,2.5664,0.024
85,1.002,-1.0433,2.4607,0.0255
86,-0.9596,0.0229,1.3451,0.0256
87,1.1146,-0.0597,4.4232,0.0266
88,0.0259,-0.0853,1.5414,0.026
89,-0.9567,-0.0057,1.2888,0.0263
90,-0.0143,0.0249,0.1628,0.0262
91,1.0936,0.96,4.1132,0.0266
92,-1.0427,-0.0236,1.5562,0.0334
93,-1.0002,0.0774,2.1667,0.0272
94,0.0843,0.0219,1.4732,0.0275
95,0.0128,-0.0308,0.2202,0.027
96,-0.0275,-1.0222,1.2918,0.0276
97,-0.0144,1.0098,1.0798,0.0292
98,-0.0029,0.9903,1.0008,0.0287
99,-0.0514,-1.0529,2.1773,0.0307
100,-0.9773,-1.0034,2.0657,0.0297
