iteration,x,y,best_fitness,execution_time
1,-0.683,0.0022,0.72,0.001
2,-1.8421,1.1061,0.3944,0.0
3,-0.0422,-0.5079,0.2829,0.0
4,-1.6057,1.2667,0.6039,0.0
5,-1.6692,1.0396,0.3716,0.0005
6,1.2529,-0.6767,0.8069,0.0024
7,1.753,-1.1374,0.3669,0.002
8,-0.2663,0.7846,0.5433,0.002
9,0.3763,-0.4289,0.2851,0.002
10,0.2973,0.1539,0.2382,0.0015
11,0.5366,-0.5739,0.5142,0.002
12,1.5592,-0.4393,0.5591,0.002
13,0.02,-0.3635,0.1256,0.0036
14,-0.2766,0.4683,0.2367,0.003
15,-0.3076,0.2506,0.1657,0.003
16,0.0755,-0.0332,0.01,0.003
17,-0.1282,-0.0229,0.0361,0.003
18,-0.0329,-0.3354,0.1257,0.0035
19,-0.1109,-0.0797,0.0396,0.0035
20,0.0536,0.1799,0.0478,0.004
21,-1.787,1.33,0.4989,0.0035
22,0.0041,0.5234,0.2762,0.005
23,0.2012,-0.1668,0.0735,0.005
24,0.2883,0.1643,0.2334,0.005
25,-0.0207,-0.2683,0.0784,0.0056
26,-0.3905,-0.0483,0.3024,0.005
27,-0.0423,0.3052,0.0838,0.0055
28,0.2787,-0.6247,0.3652,0.005
29,-0.1048,0.3156,0.0884,0.0056
30,0.1264,0.0464,0.0397,0.0065
31,0.011,-0.0119,0.0003,0.006
32,-0.3932,0.2775,0.2527,0.0066
33,0.0568,-0.5385,0.2659,0.0065
34,-0.1463,0.1254,0.0397,0.006
35,-0.173,0.5801,0.2951,0.0066
36,0.2308,0.3031,0.2654,0.0062
37,-0.0137,-0.0477,0.0033,0.0075
38,-0.4085,0.2755,0.2686,0.008
39,0.133,-0.1898,0.0458,0.0075
40,1.8797,-0.8186,0.4412,0.0085
41,-1.7627,1.226,0.4188,0.0085
42,0.0266,0.1785,0.038,0.0076
43,-0.1077,0.2924,0.0771,0.0085
44,-0.1166,0.0714,0.0238,0.0086
45,0.1887,0.0794,0.0912,0.0087
46,0.1189,-0.1908,0.0418,0.0095
47,0.1389,0.1534,0.083,0.008
48,-0.2881,-0.1154,0.2054,0.0081
49,0.0134,0.0223,0.0012,0.0096
50,0.0549,-0.1494,0.0201,0.0095
51,-0.1734,-0.0537,0.0714,0.009
52,-0.1301,0.2436,0.0612,0.0105
53,-0.0005,-0.0102,0.0001,0.0116
54,-0.0894,-0.2028,0.0752,0.0105
55,1.7288,-0.8694,0.3006,0.0106
56,-0.1984,0.1012,0.0673,0.0115
57,-0.3082,0.456,0.248,0.0111
58,0.0664,-0.0075,0.0084,0.0141
59,-0.0612,0.091,0.0102,0.0105
60,-0.0037,-0.0725,0.0056,0.0116
61,-0.0333,0.1618,0.023,0.0125
62,-1.6788,0.8455,0.3229,0.0115
63,-0.1483,-0.3887,0.2522,0.013
64,1.7681,-1.0441,0.3268,0.0135
65,-0.0849,0.1028,0.0162,0.013
66,0.2371,0.1157,0.15,0.014
67,-0.215,0.2706,0.1052,0.012
68,0.167,0.1771,0.1159,0.0125
69,-0.1964,-0.0624,0.0918,0.014
70,0.0236,0.2637,0.0769,0.0135
71,0.0367,0.188,0.0449,0.0131
72,-0.0204,0.2088,0.0402,0.0142
73,0.1129,-0.2829,0.0734,0.0135
74,0.209,-0.0759,0.0753,0.015
75,-1.67,0.7872,0.3313,0.0136
76,0.1634,-0.1293,0.0482,0.0135
77,-0.0138,0.1749,0.0285,0.0155
78,-0.0087,-0.1844,0.0358,0.015
79,0.1858,0.3695,0.273,0.0161
80,-0.094,0.3864,0.1305,0.0166
81,1.7819,-0.9061,0.3062,0.015
82,-0.1238,0.1202,0.03,0.0165
83,0.2184,-0.2174,0.0928,0.016
84,0.0276,0.0885,0.0118,0.0161
85,-0.0938,0.053,0.0154,0.017
86,0.0298,0.306,0.1045,0.017
87,0.1492,0.0621,0.0571,0.017
88,-0.0342,-0.3366,0.1272,0.0171
89,0.0625,0.091,0.0217,0.0175
90,0.0764,-0.0433,0.0102,0.018
91,-0.2282,0.1385,0.0889,0.0176
92,0.3198,-0.1173,0.17,0.018
93,1.7557,-0.7195,0.3241,0.018
94,-0.0742,0.3339,0.0977,0.0185
95,-0.0061,0.2334,0.0531,0.0181
96,0.0349,-0.1117,0.011,0.0186
97,-0.0657,0.0884,0.0106,0.0188
98,-1.6443,0.7516,0.355,0.0192
99,-0.0871,-0.029,0.0185,0.019
100,-1.7365,0.9358,0.3039,0.0188
