iteration,x,y,best_fitness,execution_time
1,8.966,9.5823,15032.4885,0.0
2,8.9633,9.4638,14587.2887,0.0
3,9.0058,9.3196,14204.6241,0.0
4,8.9719,9.2431,13839.7552,0.0
5,8.7755,9.5733,14440.5383,0.0
6,8.8022,9.323,13616.9554,0.0
7,8.6508,9.4388,13603.5187,0.0
8,8.6762,9.4045,13550.5709,0.0015
9,8.788,9.3208,13569.5615,0.0
10,8.7644,9.2713,13333.0296,0.0006
11,8.5307,9.1578,12323.6481,0.0
12,8.4478,9.3909,12900.6896,0.0
13,8.7847,8.9507,12350.8252,0.0
14,8.618,9.2131,12735.9604,0.0
15,8.8335,8.9763,12568.026,0.0
16,8.947,9.4041,14324.2622,0.0
17,8.7355,9.1854,12963.9957,0.0
18,8.2006,9.4564,12530.1222,0.0
19,8.6585,9.1399,12603.233,0.0
20,8.4744,9.3173,12712.9074,0.0
21,8.8109,9.1315,12998.2249,0.0
22,7.8117,8.7864,9544.3162,0.0
23,8.4727,8.5622,10401.7205,0.0
24,8.2829,8.8951,10887.6394,0.0
25,8.8912,8.6248,11697.9338,0.0
26,8.3115,8.8669,10871.4471,0.0
27,8.6619,8.521,10779.2435,0.0
28,8.3063,8.5303,9912.2849,0.0
29,8.1016,8.6533,9778.5203,0.001
30,8.6631,9.3062,13172.2668,0.0
31,8.1377,8.9623,10755.5451,0.0
32,8.1624,8.5848,9727.0889,0.001
33,7.6973,8.2508,7921.915,0.0
34,8.2682,8.5213,9799.346,0.0
35,8.2869,8.6221,10114.6743,0.0
36,8.0127,8.2509,8550.02,0.0015
37,8.5012,8.0216,9137.2275,0.0
38,8.3179,8.3703,9524.9111,0.0
39,8.3865,8.3834,9721.894,0.0
40,8.0945,8.2547,8734.1401,0.0
41,7.219,8.435,7548.5332,0.0
42,8.1882,8.7813,10333.3502,0.0
43,7.4926,7.9151,6801.588,0.0
44,7.6424,7.4858,6225.6939,0.0
45,8.3896,7.9564,8720.2628,0.0
46,7.8262,7.9411,7467.5893,0.0
47,7.5332,7.624,6289.4146,0.0
48,7.3647,7.9442,6648.7913,0.001
49,7.8914,8.3026,8424.785,0.0
50,7.3075,8.5629,8018.7057,0.0
51,7.8152,8.3183,8311.4902,0.0
52,7.422,8.448,7913.6715,0.0
53,8.0363,7.8173,7632.1232,0.0
54,6.8662,7.7687,5554.7833,0.0
55,8.6319,7.8548,9103.7184,0.0
56,7.9254,7.9966,7785.3284,0.0
57,7.7396,8.3569,8259.7301,0.0
58,7.0068,7.9842,6187.8786,0.0
59,7.4789,8.0411,7049.3857,0.001
60,7.8319,7.2977,6247.4994,0.0005
61,6.4724,8.4005,6449.5798,0.0005
62,7.0103,7.8265,5866.6752,0.0
63,7.4831,7.3995,5796.1994,0.0003
64,7.5407,7.9748,7012.1357,0.0
65,6.8106,7.3419,4710.7759,0.001
66,6.6654,7.5695,4925.6041,0.0
67,7.97,7.535,6941.2962,0.001
68,6.8339,6.7115,3813.0771,0.0
69,7.0499,7.6195,5521.9466,0.001
70,7.8382,7.2324,6150.3363,0.0
71,7.3971,7.4204,5690.8056,0.0
72,6.556,7.4308,4553.4618,0.0
73,7.4965,7.5854,6154.0388,0.0
74,6.609,7.4552,4656.5071,0.0
75,6.5447,7.5143,4685.2641,0.0
76,6.5362,6.5002,3207.2929,0.0
77,6.5081,7.1328,4019.9485,0.0
78,6.6034,7.2603,4326.1491,0.001
79,6.977,7.0344,4445.5618,0.0006
80,7.5048,7.5554,6112.5854,0.001
81,6.8765,7.0502,4336.4076,0.0
82,7.1834,7.4621,5431.1524,0.0
83,6.4959,6.5069,3171.7533,0.001
84,7.0068,6.7756,4121.6905,0.0
85,7.1208,6.763,4262.4421,0.001
86,6.8657,6.7001,3838.3324,0.0
87,7.1119,6.8753,4403.0787,0.001
88,7.523,6.9595,5158.8114,0.0
89,6.685,7.1953,4319.3897,0.0
90,6.8926,6.5487,3683.8921,0.001
91,6.4875,7.402,4427.4063,0.0
92,7.1846,6.3004,3791.7435,0.0
93,7.093,6.1891,3544.6601,0.001
94,7.6211,6.6758,4931.8549,0.0005
95,5.8906,6.2223,2309.5778,0.0005
96,6.8503,6.5799,3668.2579,0.0
97,6.259,6.0265,2435.5285,0.0002
98,6.5215,7.3624,4399.216,0.0
99,6.9331,6.1853,3329.4488,0.0
100,6.3555,6.3519,2853.9016,0.001
