iteration,x,y,best_fitness,execution_time
1,8.966,9.5823,191.1292,0.0
2,9.0013,9.3724,185.8192,0.0
3,8.966,9.5823,191.1292,0.0005
4,8.9823,9.9324,180.285,0.0
5,9.0075,9.7768,185.0575,0.0
6,9.0401,9.7916,185.3315,0.0
7,8.9057,9.0762,164.5199,0.0
8,8.876,9.2166,174.5309,0.0
9,8.9692,9.6891,188.2439,0.0
10,9.0179,9.9198,181.0316,0.0
11,8.8702,9.883,182.0844,0.0
12,8.9416,9.8646,181.3345,0.001
13,8.9731,9.8472,181.8918,0.0
14,9.0276,9.8228,183.7196,0.0
15,8.9824,9.9743,180.3618,0.0
16,9.0212,10.0018,181.507,0.0
17,8.9323,8.9744,161.3463,0.0
18,8.9585,9.9676,180.1524,0.001
19,8.9881,9.9258,180.4023,0.0
20,8.9747,9.1377,167.684,0.0008
21,8.9581,9.0733,163.9608,0.0
22,9.0053,8.9218,161.8821,0.0
23,8.9651,9.9103,180.3729,0.0
24,8.9595,9.9262,180.1803,0.0
25,8.9541,8.9509,161.1796,0.0
26,8.9259,8.9898,161.5729,0.0
27,8.9461,9.956,180.1022,0.0
28,8.9394,9.9266,180.2108,0.0
29,8.9488,9.9243,180.1957,0.0
30,8.9928,8.9485,161.4754,0.001
31,8.9709,8.9647,161.2547,0.0
32,8.9232,9.9888,180.5668,0.0
33,8.974,8.9388,161.2979,0.0
34,8.9324,9.9713,180.2659,0.0
35,8.9461,9.9241,180.204,0.001
36,8.9709,9.9547,180.1423,0.001
37,9.0018,9.9743,180.6502,0.0
38,8.9678,9.9751,180.2504,0.001
39,8.9423,9.9512,180.1073,0.0007
40,8.9648,8.9815,161.346,0.0
41,8.9522,9.9376,180.1043,0.0
42,8.9708,9.9447,180.1374,0.0
43,8.9725,8.9772,161.3472,0.001
44,8.9426,9.9537,180.1098,0.0
45,8.9258,8.9232,161.5026,0.001
46,8.9571,9.9369,180.1086,0.0
47,8.9506,9.9216,180.2187,0.0
48,8.9432,9.93,180.1673,0.0
49,8.9794,8.9466,161.312,0.001
50,8.9595,9.9365,180.1142,0.0
51,8.9406,8.9412,161.2425,0.0
52,8.9487,9.9687,180.1622,0.001
53,8.8979,8.9703,161.8007,0.0
54,8.9801,9.9396,180.2272,0.001
55,8.9504,8.9393,161.2209,0.0
56,8.9548,9.9595,180.1028,0.0011
57,8.9636,9.9404,180.111,0.001
58,8.9554,8.9593,161.1835,0.0
59,8.9695,8.9657,161.2505,0.0
60,8.9618,8.9321,161.2794,0.0
61,8.9499,9.957,180.0966,0.001
62,8.9534,9.9646,180.1288,0.001
63,8.9398,8.916,161.4835,0.0
64,8.9519,8.9557,161.1792,0.0
65,8.9646,9.929,180.174,0.001
66,8.9871,8.9942,161.7033,0.0
67,8.9832,8.9391,161.3839,0.0015
68,8.9533,9.9439,180.085,0.001
69,8.9457,8.9546,161.1909,0.0
70,8.9715,8.9556,161.2371,0.0
71,8.9727,8.9517,161.2461,0.0
72,8.9443,8.9338,161.2724,0.0
73,8.9231,9.9417,180.2672,0.001
74,8.9598,9.9508,180.0877,0.001
75,8.9429,9.9587,180.1227,0.001
76,8.9726,9.965,180.1976,0.0
77,8.9609,9.959,180.1096,0.0
78,8.9576,9.9252,180.1856,0.0
79,8.959,9.9391,180.1025,0.0
80,8.9416,9.951,180.1106,0.001
81,8.9511,8.9539,161.1794,0.001
82,8.927,9.9492,180.2169,0.001
83,8.9658,8.9469,161.2138,0.001
84,8.9365,9.9453,180.1401,0.0
85,8.9607,8.9625,161.2,0.001
86,8.957,8.9237,161.3501,0.0
87,8.9426,9.9558,180.1145,0.0
88,8.922,9.9608,180.2986,0.0
89,8.9538,9.9454,180.0826,0.001
90,7.9352,8.9415,144.403,0.001
91,8.9493,9.9449,180.0875,0.0005
92,8.9582,9.9419,180.0926,0.0
93,8.9463,9.9543,180.0977,0.0
94,8.9731,8.9646,161.2693,0.0
95,8.958,8.9563,161.1819,0.0
96,8.9436,9.9506,180.1018,0.001
97,8.9755,8.9631,161.2824,0.001
98,8.9517,9.9434,180.0869,0.0
99,8.9594,8.9553,161.1837,0.0
100,8.949,8.9625,161.1965,0.0
