iteration,x,y,best_fitness,execution_time
1,8.966,9.5823,80137.803,0.0
2,8.966,9.5823,80137.803,0.0
3,8.8589,9.6109,74427.4145,0.0
4,8.6738,9.5954,65358.162,0.0
5,8.8443,9.4945,73676.1455,0.0
6,8.8018,9.4377,71519.7175,0.0
7,8.7551,9.1503,69211.3698,0.0
8,8.4714,10.0599,56523.2429,0.0
9,8.4685,9.3075,56383.0824,0.0
10,8.5667,9.4963,60537.8867,0.0
11,8.7275,9.8003,67894.1362,0.0
12,8.8301,9.5796,72952.0846,0.0
13,8.7217,9.4036,67608.228,0.0
14,8.7529,9.3269,69109.3013,0.0
15,8.4764,9.4058,56711.722,0.0
16,8.2831,9.6951,49195.814,0.0
17,7.9112,9.5032,37037.8211,0.0
18,8.2083,9.3271,46508.0473,0.0
19,8.4049,9.1652,53816.0719,0.0
20,8.2299,9.3303,47269.5755,0.0
21,7.5255,9.688,27184.7199,0.0
22,7.8712,9.552,35895.9933,0.0
23,8.0064,9.2685,39873.1569,0.0
24,7.8934,9.0629,36513.0995,0.0
25,8.1742,9.6408,45335.0671,0.0
26,7.6744,8.7491,30669.4003,0.0
27,7.5858,9.5562,28559.1394,0.0005
28,8.0471,9.8271,41160.3033,0.0
29,7.6413,9.8402,29887.8282,0.0
30,7.3186,10.0028,22879.4351,0.001
31,7.8383,9.2513,34970.431,0.0
32,7.5187,8.7592,27009.8504,0.0007
33,7.9741,9.1149,38885.2192,0.0
34,7.7148,9.3423,31697.9956,0.0
35,7.3175,9.8905,22854.817,0.0
36,7.9541,9.6566,38300.4205,0.0
37,7.4072,9.599,24639.5962,0.0
38,7.0968,9.632,18891.3365,0.0
39,7.843,9.1183,35095.5932,0.001
40,7.7004,10.3136,31361.0779,0.0
41,7.3029,9.5902,22565.1859,0.001
42,7.1787,9.8679,20292.4595,0.0
43,7.3551,9.4954,23581.6854,0.0
44,7.8313,9.7164,34790.9408,0.0
45,7.785,9.4539,33529.5945,0.001
46,7.4149,10.2285,24817.1541,0.0
47,7.6208,10.2322,29405.1655,0.001
48,6.2356,10.9708,8477.0077,0.0
49,6.755,9.8572,13903.157,0.0
50,7.0975,9.7257,18904.5736,0.0
51,6.7404,10.1587,13724.8074,0.0
52,6.62,9.5857,12254.7566,0.0
53,6.9178,9.4224,16111.4855,0.0
54,6.4003,10.5532,9955.8291,0.001
55,7.7969,8.8665,33833.7463,0.0
56,6.3842,9.8113,9780.7005,0.001
57,6.0539,9.4165,7013.2045,0.0
58,6.8031,9.2734,14515.5411,0.001
59,6.8334,9.6067,14931.348,0.0
60,6.8746,10.3128,15519.4018,0.001
61,7.1508,7.941,19760.2242,0.0
62,6.3362,9.4282,9321.22,0.001
63,6.7404,9.5321,13708.3428,0.0
64,6.1317,9.6996,7602.2583,0.001
65,6.5829,9.6686,11834.8954,0.0
66,6.7597,8.9494,13939.648,0.0
67,6.7925,9.5382,14382.4964,0.0015
68,6.5631,9.5107,11611.3439,0.0
69,5.7144,9.1184,4884.2013,0.001
70,6.6444,10.2078,12555.0929,0.0005
71,6.0906,9.5081,7285.0671,0.001
72,6.5974,10.5006,12020.0157,0.0
73,5.4313,9.5349,3566.1337,0.0
74,6.2276,8.6296,8348.7572,0.0
75,6.3085,9.3021,9066.8247,0.0
76,6.1614,9.9988,7842.5902,0.0
77,6.3319,10.0749,9299.1312,0.0
78,5.8223,9.2416,5493.0176,0.001
79,5.4763,9.1464,3744.9373,0.0
80,5.2179,9.0888,2769.9603,0.0
81,6.0895,10.0726,7291.4266,0.001
82,5.4271,9.8565,3557.0304,0.0
83,4.9084,9.0995,1896.7901,0.0
84,6.2272,9.9109,8377.507,0.0
85,6.256,8.9655,8597.5726,0.001
86,5.2943,8.6558,3022.2357,0.0005
87,6.1731,10.731,7955.8447,0.0
88,4.8822,9.0129,1833.3298,0.001
89,5.1088,10.6391,2467.7863,0.0
90,6.0198,9.434,6770.4153,0.0
91,5.4127,9.0989,3480.7162,0.001
92,4.9415,10.5368,2012.3987,0.0
93,5.6164,10.3587,4415.1656,0.0
94,5.1207,9.5727,2476.0817,0.0
95,5.7254,8.6833,4932.8156,0.001
96,4.9261,8.8974,1934.9174,0.0
97,4.7999,11.3194,1709.4003,0.0
98,6.1946,9.6651,8100.8818,0.0
99,3.7985,10.8499,469.8248,0.0015
100,5.0325,9.9146,2232.6368,0.0
