iteration,x,y,best_fitness,execution_time
1,8.966,9.5823,15032.4885,0.0
2,8.8814,9.5044,14491.8804,0.0
3,8.9592,9.541,14857.9047,0.0
4,8.966,9.5823,15032.4885,0.0
5,8.9566,9.4914,14667.633,0.0
6,8.8796,9.5971,14830.6892,0.0
7,8.9336,9.5011,14634.3432,0.0
8,8.7696,9.4957,14137.9553,0.0
9,8.9426,9.2178,13666.7243,0.0
10,8.9508,9.4979,14673.9695,0.0
11,8.8905,9.5028,14512.746,0.001
12,8.8362,9.3957,13968.8481,0.0
13,8.5046,9.396,13063.8088,0.0
14,8.6656,9.4761,13777.882,0.0
15,8.7555,9.4385,13891.5597,0.0
16,8.766,9.2036,13109.4403,0.0
17,8.9624,9.4423,14507.0437,0.0
18,8.876,9.4054,14118.7661,0.0
19,8.8467,9.2219,13399.7954,0.0
20,8.7949,9.2921,13489.856,0.0
21,8.8545,9.3814,13971.2388,0.0
22,8.9648,9.296,13999.1946,0.0
23,8.7498,9.4232,13820.9072,0.0
24,8.8654,9.3927,14043.3205,0.001
25,8.733,9.324,13426.1002,0.0
26,8.8785,9.4959,14452.3956,0.0
27,8.7401,9.286,13315.2387,0.0
28,8.8503,9.4832,14323.7324,0.0
29,8.5973,9.3575,13172.771,0.001
30,8.5911,9.2591,12818.6856,0.0
31,8.6912,9.2657,13110.8123,0.0
32,8.9168,9.0052,12899.2348,0.0
33,8.85,9.3034,13686.5282,0.0
34,8.8465,9.1524,13168.4321,0.0
35,8.8367,9.1832,13242.1017,0.0
36,8.5672,9.0972,12222.2166,0.0
37,8.6728,9.3288,13276.4597,0.001
38,8.7283,9.1083,12691.6328,0.0005
39,8.7478,9.1113,12755.1846,0.0
40,8.3949,9.3032,12464.5951,0.0
41,8.8553,9.3507,13865.7691,0.0
42,8.8446,9.2676,13548.7893,0.0
43,8.7942,9.0899,12816.0307,0.0
44,8.7282,9.2909,13298.8396,0.0
45,8.6787,9.249,13020.1439,0.0
46,8.9173,9.2173,13590.4007,0.0
47,8.7529,9.1459,12882.2344,0.001
48,8.443,9.0125,11636.207,0.0
49,8.7202,9.2194,13034.6505,0.001
50,8.818,9.0349,12707.7288,0.0
51,8.8245,9.0167,12668.9213,0.001
52,8.7212,9.0459,12472.2848,0.0
53,8.7933,9.3166,13569.6441,0.001
54,8.7263,9.4277,13771.2893,0.0
55,8.5861,9.2413,12745.1584,0.001
56,8.8121,9.2308,13330.6705,0.0
57,8.7784,9.2049,13148.5455,0.0
58,8.8606,9.0821,12980.4684,0.0015
59,8.7084,9.0535,12461.0848,0.0
60,8.7288,9.2585,13190.151,0.001
61,8.7242,9.0808,12591.6651,0.0005
62,8.6512,8.9031,11839.6625,0.0
63,8.7178,8.927,12092.6613,0.0
64,8.6935,9.3072,13259.0517,0.0
65,8.8938,9.4028,14161.9622,0.0
66,8.6364,8.9082,11815.3287,0.0
67,8.8817,9.1817,13367.237,0.001
68,8.3477,9.146,11825.4094,0.0
69,8.3636,9.1175,11772.3154,0.001
70,8.8272,9.3112,13647.8706,0.0
71,8.7801,9.0377,12609.5691,0.001
72,8.7262,9.3581,13525.3124,0.0
73,8.7673,9.2606,13304.6801,0.0
74,8.8881,9.2356,13566.4112,0.001
75,8.8113,9.2474,13384.6701,0.0
76,8.7904,9.4845,14156.1683,0.001
77,8.7452,9.4478,13895.9602,0.0005
78,8.8837,9.1887,13396.2539,0.0
79,8.7503,9.1679,12947.1978,0.0
80,8.6507,9.4222,13543.8755,0.0014
81,8.8631,9.1108,13080.609,0.0
82,8.8469,9.3206,13737.1168,0.001
83,8.7001,9.405,13618.1706,0.0
84,8.797,9.3432,13672.5531,0.0
85,8.6541,9.2416,12928.399,0.001
86,8.8094,9.3747,13817.8456,0.0
87,8.8716,9.0862,13025.6303,0.0
88,8.6848,9.1708,12776.0817,0.0
89,8.6293,9.2683,12951.6457,0.001
90,8.4012,8.8571,11059.8007,0.0
91,8.2711,8.851,10728.6924,0.0015
92,8.5492,9.177,12434.8046,0.0
93,8.6823,9.0623,12417.7955,0.001
94,8.5176,9.1954,12413.2777,0.0
95,8.4088,8.8944,11189.6473,0.0005
96,8.6498,9.2509,12948.0998,0.0
97,8.7202,8.9279,12101.8031,0.0
98,8.8837,9.1147,13152.9981,0.001
99,8.8353,9.2819,13570.3633,0.001
100,8.6556,8.9505,11995.8794,0.0005
