iteration,x,y,best_fitness,execution_time
1,8.966,9.5823,191.1292,0.0
2,8.966,9.5823,191.1292,0.0
3,8.966,9.5823,191.1292,0.0
4,8.9979,9.7049,187.9444,0.0
5,9.0021,9.6953,188.4075,0.0
6,8.9718,9.721,186.9615,0.0
7,8.966,9.5823,191.1292,0.0
8,8.9602,9.8033,183.4141,0.0
9,8.9904,9.8274,182.7514,0.0
10,8.9862,9.6996,187.9842,0.0
11,8.941,9.9381,180.1338,0.0
12,8.9154,9.8912,180.946,0.0
13,8.9921,9.8561,181.8287,0.0
14,8.8972,9.9393,180.6831,0.0
15,8.9301,9.8981,180.6488,0.001
16,9.0524,9.7817,186.1847,0.0
17,8.952,9.1997,172.1181,0.0
18,8.8877,9.9181,181.0415,0.0
19,8.937,9.8915,180.7201,0.0
20,8.9139,9.8266,182.8169,0.0
21,8.9652,9.7968,183.6926,0.001
22,8.8963,9.728,187.2072,0.0
23,9.0174,9.1313,167.9648,0.001
24,9.0185,9.3682,185.9297,0.0
25,8.9451,9.8155,182.948,0.0
26,8.9025,9.2499,176.6261,0.0
27,8.9157,9.0134,162.137,0.0
28,8.9627,9.8785,180.962,0.0
29,8.9521,9.9493,180.0813,0.0
30,8.955,9.9474,180.081,0.001
31,8.9339,9.7301,186.5867,0.0
32,8.9479,9.9536,180.0922,0.001
33,8.9315,9.7918,183.9673,0.0
34,8.9534,9.9486,180.0806,0.001
35,8.9204,9.8717,181.3272,0.0
36,8.825,9.1367,170.2895,0.001
37,8.9541,9.9467,180.0813,0.0
38,8.9526,9.9442,180.0847,0.0
39,8.9584,9.9541,180.0897,0.0
40,8.893,9.8653,181.9595,0.0
41,8.9607,9.229,174.455,0.0
42,8.9533,9.9505,180.0812,0.0
43,8.9541,9.9488,180.0805,0.0
44,8.9538,9.9471,180.081,0.0
45,8.9553,9.947,180.0814,0.001
46,8.9433,9.9366,180.1294,0.0
47,8.9858,9.8555,181.7605,0.001
48,8.9544,9.9487,180.0806,0.0
49,8.8969,9.8661,181.8556,0.0
50,9.0157,9.1111,166.6809,0.001
51,8.956,9.9485,180.0813,0.0
52,8.9534,9.8904,180.6876,0.0
53,8.918,9.194,171.911,0.001
54,8.9388,9.7588,185.3158,0.0005
55,9.0073,9.8615,181.9453,0.0
56,8.9323,9.7711,184.8289,0.0
57,8.9422,9.867,181.2665,0.0006
58,8.9542,9.9489,180.0805,0.0
59,8.9761,9.9122,180.4188,0.001
60,8.9525,9.9494,180.081,0.0
61,8.9541,9.9487,180.0805,0.0
62,8.954,9.9488,180.0805,0.0
63,8.9544,9.9485,180.0806,0.0
64,9.0047,9.8704,181.65,0.0
65,8.9538,9.9484,180.0805,0.001
66,8.95,9.9081,180.384,0.0
67,8.883,9.8746,181.9461,0.0015
68,8.954,9.9485,180.0805,0.0
69,8.9407,8.9974,161.5776,0.0
70,8.9561,9.1543,168.7321,0.0013
71,8.9537,9.9489,180.0805,0.001
72,8.9694,9.8644,181.3571,0.0
73,8.9565,9.9451,180.0841,0.001
74,8.954,9.949,180.0805,0.001
75,8.9373,9.1199,166.5208,0.001
76,8.954,9.9487,180.0805,0.0
77,8.9537,8.9537,161.1778,0.0
78,8.9275,9.8384,182.2405,0.001
79,8.9537,9.9488,180.0805,0.001
80,8.9751,9.9222,180.2957,0.0
81,8.9625,8.9709,161.246,0.0
82,8.954,9.9487,180.0805,0.001
83,8.9538,9.9487,180.0805,0.001
84,8.9379,9.9173,180.3101,0.001
85,8.9541,9.9487,180.0805,0.001
86,8.9539,8.954,161.1778,0.001
87,8.9529,9.8931,180.6351,0.0
88,8.954,9.9488,180.0805,0.0015
89,8.8913,9.2357,175.7027,0.0006
90,8.954,9.9488,180.0805,0.001
91,8.954,9.9487,180.0805,0.0
92,8.954,9.9487,180.0805,0.0
93,8.948,9.9332,180.132,0.0
94,9.0019,9.7842,184.6303,0.001
95,8.9113,9.8727,181.4259,0.001
96,8.9532,9.944,180.0849,0.001
97,8.954,9.9487,180.0805,0.0
98,8.881,9.8538,182.5666,0.0
99,8.954,9.9487,180.0805,0.0
100,8.954,9.9487,180.0805,0.0017
