iteration,x,y,best_fitness,execution_time
1,8.966,9.5823,80137.803,0.0
2,8.9545,9.5581,79507.3505,0.0
3,8.966,9.5823,80137.803,0.0
4,8.8889,9.5534,75992.8053,0.001
5,8.8768,9.5887,75359.3732,0.0
6,8.9271,9.6278,78024.4165,0.0
7,8.8245,9.5383,72664.8586,0.0
8,8.9071,9.5491,76952.5291,0.0
9,8.8449,9.7471,73710.5208,0.0
10,8.8013,9.6189,71498.5112,0.0
11,8.8714,9.4786,75072.2195,0.0
12,8.7851,9.6356,70693.855,0.0
13,8.7815,9.5059,70512.498,0.0
14,8.7167,9.5511,67373.5838,0.0
15,8.5591,9.7375,60217.4445,0.001
16,8.4884,9.6319,57212.5058,0.0
17,8.704,9.7397,66774.0462,0.0
18,8.761,9.4551,69504.9627,0.0
19,8.6067,9.6684,62306.2341,0.0
20,8.6683,9.4427,65097.3634,0.0
21,8.7333,9.611,68167.2047,0.0
22,8.4759,9.7921,56699.76,0.0
23,8.8126,9.8089,72073.6804,0.0
24,8.8279,9.6219,72841.0294,0.0
25,8.7332,9.646,68163.2637,0.0
26,8.857,9.6143,74330.0966,0.0
27,8.6731,9.6237,65324.0192,0.0
28,8.5517,9.7163,59895.2813,0.0
29,8.6037,9.6167,62171.2304,0.0
30,8.527,9.4581,58830.8932,0.0
31,8.2381,9.3697,47561.3589,0.0
32,8.7366,9.5655,68324.028,0.0
33,8.6609,9.6466,64762.5372,0.0
34,8.5588,9.6643,60199.4362,0.0
35,8.5705,9.3992,60702.4061,0.0
36,8.4529,9.8073,55760.4125,0.0
37,8.1842,9.4311,45674.2337,0.0
38,8.3046,9.7409,49990.067,0.0
39,8.4683,9.7186,56387.1119,0.001
40,8.4847,9.7729,57062.7768,0.0
41,8.5753,9.489,60914.8385,0.001
42,8.7665,9.5137,69774.9286,0.0
43,8.6509,9.6217,64303.7666,0.0
44,8.4623,9.6274,56136.3126,0.0
45,8.6319,9.7047,63438.9131,0.0
46,8.5999,9.7606,62008.452,0.0
47,8.3321,9.6999,51019.7881,0.0
48,8.2073,9.5036,46478.1122,0.0
49,8.5741,9.6991,60868.1815,0.0
50,8.272,9.6798,48789.4038,0.0
51,8.3616,9.7407,52146.1011,0.0
52,8.5459,9.4403,59637.7854,0.0005
53,8.5427,9.4713,59500.5029,0.0
54,8.1763,9.5176,45406.4527,0.001
55,8.3879,9.7505,53165.5945,0.0
56,8.3418,9.4363,51380.3788,0.001
57,8.4618,9.661,56117.0083,0.0
58,8.6894,9.6375,66088.0502,0.0
59,8.4696,9.6233,56437.4617,0.0
60,8.6168,9.6723,62759.3527,0.0
61,8.4667,9.2519,56306.3773,0.0
62,8.5883,9.3968,61482.0419,0.0
63,8.7062,9.522,66872.647,0.001
64,8.2895,9.2594,49420.5083,0.0
65,8.4587,9.5727,55987.1954,0.001
66,8.6052,9.5005,62236.789,0.0
67,8.552,9.57,59904.6009,0.0015
68,8.4948,9.804,57484.1412,0.0
69,8.423,9.7568,54551.4181,0.001
70,8.4418,9.8833,55311.4233,0.0
71,8.6119,9.6877,62537.7024,0.001
72,8.6085,9.6966,62387.8627,0.0
73,8.645,9.6629,64034.5305,0.0
74,8.4892,9.4147,57241.0395,0.0
75,8.5675,9.4383,60571.9237,0.001
76,8.3936,9.2631,53374.2613,0.0
77,8.7088,9.5147,66994.5945,0.001
78,8.3673,9.4182,52355.5313,0.001
79,8.2858,9.6186,49292.78,0.0
80,8.3496,9.4984,51679.4765,0.0
81,8.4991,9.3874,57651.8078,0.001
82,8.7766,9.4678,70273.0913,0.0
83,8.4842,9.5148,57033.9574,0.0
84,8.4872,9.327,57155.0277,0.0
85,8.5322,9.6695,59055.5837,0.001
86,8.503,9.4131,57814.1705,0.0011
87,8.615,9.5773,62677.2354,0.0
88,8.8388,9.6072,73394.5156,0.001
89,8.6457,9.7653,64068.9185,0.001
90,8.592,9.5057,61650.0112,0.0
91,7.9919,9.3371,39431.8573,0.0
92,8.7156,9.6387,67323.9218,0.0
93,8.2643,9.6009,48509.786,0.001
94,8.2717,9.6961,48780.6498,0.0
95,8.3677,9.4105,52370.1736,0.0
96,8.541,9.6314,59431.7813,0.001
97,8.5259,9.6642,58790.3587,0.001
98,8.4742,9.3603,56615.829,0.0
99,8.7809,9.596,70487.59,0.0
100,8.455,9.5216,55835.3044,0.0011
