iteration,x,y,best_fitness,execution_time
1,8.0475,9.5276,12436.8547,0.0
2,9.1725,8.8471,13192.2489,0.0
3,8.0894,8.9401,10580.3808,0.0
4,7.7451,8.4931,8615.1142,0.0
5,9.9096,7.9535,13432.4019,0.0
6,9.049,8.1988,11052.4666,0.0
7,8.4839,9.5472,13554.3641,0.0
8,8.4416,8.6038,10437.652,0.0
9,6.9958,9.0049,8778.3825,0.0
10,5.9568,8.9929,7493.3046,0.0
11,7.6263,8.4546,8292.4823,0.0
12,7.8451,6.8383,5559.3855,0.0
13,6.5217,7.8572,5304.0584,0.0
14,7.9197,6.9614,5882.2737,0.0
15,6.9776,7.627,5434.6015,0.0
16,6.9473,8.1003,6356.4519,0.0
17,7.9916,7.5276,6971.528,0.0
18,7.3006,5.8122,3476.2751,0.001
19,7.305,8.14,6981.3705,0.0
20,3.6748,3.9798,198.6245,0.0
21,7.1624,7.2655,5066.0733,0.0
22,6.827,8.2077,6434.783,0.0
23,6.381,6.7698,3375.3468,0.001
24,7.1307,4.9603,2619.4654,0.0
25,4.2022,3.5756,204.488,0.0
26,5.8411,6.0191,2078.8901,0.001
27,5.9293,4.6407,1248.166,0.0
28,5.5143,5.9016,1752.3553,0.0
29,6.6938,6.6898,3615.53,0.0
30,6.0567,6.3582,2585.5793,0.0015
31,3.9192,2.371,51.7622,0.0
32,5.0996,4.3632,668.8199,0.0
33,6.304,4.3262,1418.1248,0.0
34,3.7453,3.0971,77.667,0.0011
35,5.5109,4.3771,876.1675,0.0
36,2.3455,3.1743,34.8005,0.0
37,5.4915,5.2891,1298.031,0.001
38,2.8754,1.7619,1.9824,0.0
39,4.2082,4.1072,315.1665,0.0009
40,3.0551,1.9017,0.1632,0.0
41,3.714,3.6912,148.9401,0.0
42,2.8583,2.7537,11.8472,0.0
43,4.8739,3.7035,405.2274,0.0
44,5.33,4.3443,769.1341,0.0
45,2.9478,3.2135,40.187,0.0
46,2.3553,3.6783,82.0987,0.0
47,3.3823,3.1097,49.2273,0.0
48,3.083,5.0101,461.1068,0.0
49,3.05,1.7794,0.6211,0.0
50,3.4744,2.5992,23.9075,0.0
51,2.9522,2.0502,0.0791,0.0
52,2.9053,2.0438,0.2723,0.0
53,2.942,1.5745,3.0857,0.0
54,3.0503,1.7382,0.8633,0.0
55,2.9388,1.9695,0.1884,0.0
56,3.2155,1.8927,1.5588,0.0
57,3.0309,3.3281,52.8084,0.001
58,2.9716,2.1073,0.174,0.0
59,5.4954,5.1183,1201.0541,0.001
60,3.1859,1.9288,1.1728,0.0
61,2.2363,3.7394,90.0968,0.001
62,2.9052,1.6802,2.3911,0.0
63,2.9905,2.002,0.003,0.001
64,2.8538,1.8087,1.8608,0.0
65,3.0059,2.1316,0.3301,0.0
66,2.9768,2.0189,0.0172,0.0
67,2.9237,3.5868,78.5329,0.0
68,3.2451,1.9985,2.3953,0.001
69,3.0903,2.0686,0.519,0.0
70,2.8227,2.2282,1.2671,0.0
71,2.8862,1.9859,0.4967,0.001
72,2.9016,1.9859,0.3776,0.0
73,3.0667,1.9428,0.1459,0.0
74,2.6385,2.1539,3.6279,0.0
75,2.9977,2.021,0.0068,0.001
76,3.0505,1.8657,0.249,0.0
77,2.8668,2.1451,0.6242,0.0
78,3.8717,3.1225,94.441,0.001
79,2.9655,2.3412,2.1111,0.0
80,3.0189,1.9984,0.0127,0.0
81,3.1936,1.5465,2.5572,0.001
82,2.9481,2.1402,0.3079,0.0
83,3.0061,1.8418,0.3768,0.001
84,2.9646,1.8936,0.3033,0.0
85,2.9811,2.0266,0.0153,0.0005
86,2.9912,2.0049,0.0024,0.0005
87,2.9719,1.9624,0.0734,0.0
88,3.0679,1.7324,0.8874,0.0011
89,3.0479,2.0846,0.2948,0.0
90,2.9863,2.1457,0.3527,0.0
91,2.9927,1.9206,0.1167,0.001
92,2.9982,1.9863,0.0038,0.0
93,3.0077,1.9331,0.0656,0.0
94,2.9945,2.003,0.0009,0.001
95,3.0771,1.9547,0.1895,0.0
96,3.0034,1.994,0.0006,0.0
97,2.9902,1.9883,0.0081,0.001
98,2.9791,1.9661,0.0493,0.0
99,3.0362,2.0111,0.0593,0.0
100,2.9671,1.9924,0.0455,0.001
