iteration,x,y,best_fitness,execution_time
1,8.966,9.5823,191.1292,0.0
2,8.2458,10.0137,178.037,0.0
3,8.9142,9.8896,180.9977,0.0
4,9.0285,7.936,145.4514,0.0
5,8.6009,9.0197,173.4629,0.0
6,9.1136,9.8623,186.2807,0.0
7,8.909,8.0523,146.3355,0.0
8,9.0617,8.928,163.5709,0.0
9,7.0038,8.4456,139.805,0.0
10,9.0764,8.223,159.4414,0.0
11,8.9774,9.0096,161.8853,0.001
12,8.8276,9.0484,165.5761,0.0
13,8.9545,9.9642,180.1261,0.0
14,6.9102,7.9966,113.2493,0.0
15,8.8282,8.0327,147.9525,0.0
16,6.9864,8.882,130.3604,0.0
17,8.1286,9.0139,150.4523,0.0
18,7.7734,9.2366,163.4368,0.0
19,8.8565,9.9948,182.1355,0.0
20,7.9678,9.9515,163.1828,0.0
21,8.0392,8.963,145.5352,0.0
22,7.9758,8.9692,144.362,0.0
23,6.9297,9.0086,130.1493,0.0
24,8.0646,8.9753,146.5277,0.0
25,7.9936,9.9765,163.545,0.0
26,8.1026,8.9614,148.2604,0.0002
27,8.8687,7.757,151.602,0.0
28,8.9619,9.9746,180.2208,0.001
29,7.0322,7.9181,113.6457,0.0
30,7.9071,7.9651,127.8609,0.001
31,8.9871,8.9914,161.66,0.0
32,9.0145,9.9151,181.0009,0.0
33,8.9551,8.996,161.52,0.0
34,7.9577,8.9676,144.3005,0.0
35,8.9164,8.9027,161.919,0.001
36,8.9506,7.906,144.789,0.001
37,9.0026,9.9738,180.6602,0.0
38,8.945,6.9363,129.5067,0.0015
39,5.9448,8.9351,116.5925,0.0
40,5.9351,6.9512,84.8306,0.0
41,3.9073,4.9255,42.2521,0.0
42,7.1662,6.2436,104.9075,0.0
43,8.0313,7.0061,113.7857,0.0
44,8.9285,7.9442,144.429,0.0
45,8.9614,8.9317,161.2809,0.0
46,8.9519,8.9418,161.2067,0.0
47,6.013,5.1916,69.5545,0.001
48,6.2452,7.9269,112.5723,0.002
49,7.9617,7.9675,127.3658,0.001
50,9.0153,8.0052,145.4107,0.001
51,5.9,7.0399,86.5915,0.0
52,6.9307,8.02,113.3667,0.0
53,8.0155,6.1555,106.5913,0.0
54,7.977,7.977,127.4734,0.0
55,7.0063,3.9176,65.7549,0.0
56,4.0088,6.9665,64.839,0.001
57,7.8724,6.9199,114.1449,0.0
58,8.9634,8.972,161.2573,0.001
59,5.9734,6.8285,87.7164,0.001
60,6.992,7.9216,112.8419,0.0
61,7.8369,9.8907,166.3163,0.0
62,5.9893,7.9908,99.7645,0.001
63,7.9496,8.8876,145.0756,0.0
64,6.9761,8.9395,129.4068,0.0
65,6.0162,7.0512,86.4786,0.001
66,8.989,8.969,161.4575,0.001
67,6.9804,7.9926,112.6944,0.0
68,5.8025,7.9166,104.446,0.0
69,7.9546,7.9872,127.5078,0.001
70,7.8778,6.9313,113.8239,0.001
71,6.9971,6.9854,97.7987,0.0
72,4.8012,7.822,96.7016,0.001
73,4.2437,6.9605,76.3696,0.0009
74,8.9251,7.9532,144.4273,0.001
75,6.9859,7.8037,116.4283,0.0
76,7.2133,4.0701,77.2674,0.0
77,7.9872,9.9759,163.461,0.001
78,8.9874,7.9296,144.6456,0.001
79,7.9475,7.938,127.4635,0.0
80,6.8858,5.0527,75.9533,0.0
81,6.9845,7.9787,112.5794,0.0
82,7.9633,7.9683,127.3701,0.0012
83,5.9237,9.0357,118.111,0.001
84,3.9154,6.9358,65.618,0.001
85,5.9724,4.943,60.8874,0.001
86,6.967,7.9113,112.856,0.001
87,4.9711,6.98,73.6755,0.0
88,5.964,6.7856,89.6498,0.0
89,6.9653,7.9533,112.4346,0.0
90,7.9654,8.9608,144.2808,0.0
91,6.0482,7.0625,87.6744,0.0008
92,7.9801,5.9248,99.9584,0.0
93,7.9735,7.9509,127.4041,0.0013
94,9.0015,7.9509,144.7165,0.001
95,7.9599,7.9614,127.3523,0.001
96,5.9704,2.9925,44.7844,0.001
97,8.9112,8.9466,161.5246,0.001
98,5.9465,5.9782,71.7528,0.001
99,6.9588,5.9576,84.6039,0.001
100,5.9556,7.9014,100.1463,0.001
