iteration,x,y,best_fitness,execution_time
1,8.966,9.5823,80137.803,0.0
2,8.1124,10.1273,43273.7287,0.0
3,8.1722,8.1537,45230.5387,0.0
4,6.801,9.654,14496.8061,0.0
5,8.966,9.5823,80137.803,0.0
6,7.6533,9.9254,30181.9801,0.0
7,8.13,10.58,43869.6759,0.0
8,6.2559,10.14,8626.7125,0.0
9,7.1529,9.9308,19846.145,0.0
10,6.7748,7.0719,14092.0258,0.0
11,7.0341,11.649,17934.0903,0.0
12,5.4475,8.962,3619.1663,0.0
13,7.7067,9.0176,31484.7301,0.0
14,6.5282,9.0031,11218.5588,0.0
15,5.6439,8.1901,4498.4754,0.0
16,6.7653,7.9329,13988.3742,0.0
17,6.0191,10.8203,6802.1312,0.0
18,7.6184,8.1789,29293.1586,0.0
19,5.2206,10.1884,2805.6342,0.001
20,5.6763,8.1266,4661.3263,0.0
21,7.0572,9.0821,18231.1798,0.0
22,3.0814,11.4559,233.5442,0.0
23,7.2783,10.1798,22112.3927,0.0
24,3.6819,9.5546,375.8325,0.0
25,1.8369,7.8803,77.7712,0.0
26,3.2077,8.2151,184.8154,0.001
27,4.3481,11.2625,964.6571,0.0
28,4.3358,10.5843,931.6913,0.0
29,4.2512,11.3591,854.3305,0.001
30,2.0793,10.0604,124.6212,0.001
31,4.8111,8.672,1667.5384,0.0
32,2.4582,7.3326,82.3123,0.0
33,3.4352,10.7289,303.2436,0.0
34,0.2747,7.6438,60.673,0.001
35,1.9785,9.9971,121.458,0.0
36,3.3678,9.8383,260.7282,0.0
37,1.5256,5.528,40.061,0.0
38,0.7175,5.4841,34.7838,0.0005
39,3.7498,10.3868,430.6945,0.0
40,0.8856,6.7365,52.3487,0.001
41,0.169,6.5197,43.665,0.0
42,1.4263,5.1599,35.1104,0.001
43,3.0544,10.4266,203.1693,0.0
44,1.7298,8.0233,79.3009,0.001
45,1.6631,4.9426,33.6756,0.0
46,1.6835,4.8651,32.8877,0.0
47,0.1522,9.6343,94.3314,0.0
48,2.1705,8.7188,98.4866,0.001
49,-0.1039,6.0422,35.9021,0.0
50,0.2764,7.9584,65.6827,0.0
51,0.3169,7.3603,56.698,0.0015
52,1.5611,8.9358,94.8481,0.0
53,2.7815,9.3746,143.7607,0.0
54,0.4034,6.6126,46.6926,0.0
55,-0.2214,6.3723,39.2916,0.001
56,0.3224,9.0265,84.5851,0.0
57,0.9421,5.729,39.2834,0.001
58,-0.5744,8.0249,60.341,0.0
59,0.8287,1.492,4.3947,0.0
60,1.7208,11.3176,148.6067,0.001
61,-1.3683,5.5459,24.3259,0.0
62,-0.3653,6.2371,36.8716,0.0
63,0.9847,5.8551,41.1517,0.0
64,1.8143,5.9892,47.8875,0.0
65,-0.826,5.6412,28.0921,0.0
66,-1.8827,1.5947,0.8601,0.0
67,0.0695,0.5755,0.3808,0.0015
68,1.7032,7.6591,72.7404,0.0
69,-0.8325,4.5907,18.1896,0.0
70,-0.2931,2.527,5.8092,0.0
71,-0.0905,-0.083,0.0307,0.0
72,-1.735,3.3577,6.5006,0.0
73,-1.5141,1.8445,1.684,0.0015
74,-0.079,0.1216,0.0176,0.0
75,-1.6129,1.9558,1.7018,0.0
76,0.4085,3.1285,11.3704,0.001
77,-1.9002,2.7193,3.6054,0.0
78,-2.0697,3.6333,8.082,0.0
79,-1.3464,1.6205,1.612,0.001
80,-1.5874,2.6879,3.9975,0.0
81,-0.2854,0.2682,0.1514,0.0
82,-0.3708,0.722,0.5091,0.0
83,-1.6448,5.1579,19.1464,0.0015
84,-1.7332,0.1334,0.8374,0.0
85,-1.2919,5.149,21.0485,0.0
86,-1.7183,0.8718,0.3035,0.0
87,0.0578,1.1073,1.2968,0.001
88,-1.6612,0.9142,0.3427,0.0
89,-1.8193,0.86,0.3351,0.0
90,-0.0398,-0.0666,0.0103,0.001
91,-1.6423,1.3482,0.6295,0.001
92,-1.7358,0.8154,0.3022,0.0
93,-0.1163,0.0492,0.0235,0.0
94,-0.1084,0.1724,0.0344,0.001
95,0.0716,0.1096,0.0301,0.001
96,0.326,0.3334,0.4208,0.0
97,-1.8287,0.7285,0.3774,0.0005
98,0.0846,-0.0166,0.0131,0.0
99,-0.0589,-0.0063,0.0073,0.0005
100,-1.7373,0.8275,0.3009,0.0
