Function,Iterations,Best Solution,Best Fitness,Execution Time (s),Population Size,Generations,Step Size,Domain
rastrigin,800,"[-0.9242, -0.0186]",2.0367,0.0185,40,80,5.4,"[-5.012, 0.9106]"
rastrigin,300,"[-0.0038, -0.0055]",0.0088,0.0079,50,30,1.3,"[-1.5334, 8.2702]"
rastrigin,200,"[-0.1255, -0.9593]",4.2127,0.0025,20,20,7.9,"[-4.3556, 1.8469]"
rastrigin,300,"[0.9964, 0.033]",1.211,0.004,20,30,7.2,"[-3.5845, 1.1645]"
rastrigin,10,"[1.9397, -0.2602]",15.1821,0.0,30,1,9.2,"[-7.7986, 8.3629]"
rastrigin,10,"[0.9159, 2.047]",6.8255,0.001,30,1,3.7,"[-4.9365, 9.4102]"
rastrigin,1000,"[-0.9655, -0.0334]",1.3865,0.0218,40,100,7.6,"[-1.8164, 4.3141]"
rastrigin,50,"[-1.0599, -1.0123]",2.8778,0.001,30,5,0.4,"[-9.7374, 3.1598]"
rastrigin,50,"[0.088, -0.998]",2.4952,0.001,30,5,2.2,"[-9.5586, 8.4528]"
rastrigin,900,"[-0.9269, 0.097]",3.7055,0.0074,10,90,7.6,"[-5.8239, 2.2326]"
rastrigin,10,"[-0.0938, 1.136]",6.4224,0.0,30,1,1.6,"[-2.6288, 4.7951]"
rastrigin,700,"[-0.0488, 2.0183]",4.608,0.0046,10,70,7.0,"[-2.6932, 8.0993]"
rastrigin,10,"[-0.9672, 0.7051]",14.4298,0.0005,40,1,5.2,"[-6.4312, 6.6257]"
rastrigin,10,"[-2.8483, 1.9484]",16.6411,0.0,30,1,0.3,"[-8.0722, 6.3551]"
rastrigin,800,"[-0.0131, -0.0277]",0.1858,0.0171,40,80,1.1,"[-7.9912, 4.9123]"
rastrigin,100,"[-1.9246, -0.071]",5.789,0.001,20,10,6.6,"[-6.9862, 5.4892]"
rastrigin,500,"[-1.0121, -0.9426]",2.5842,0.0059,20,50,7.6,"[-5.791, 7.8116]"
rastrigin,100,"[0.9241, -0.9319]",3.738,0.002,30,10,2.3,"[-8.9284, 2.3335]"
rastrigin,300,"[-1.092, -0.9597]",4.0578,0.0036,20,30,7.3,"[-1.6347, 8.2705]"
rastrigin,600,"[-0.9374, -1.0518]",3.2727,0.007,20,60,8.7,"[-5.0054, 2.3751]"
rastrigin,800,"[-0.0398, -0.9461]",1.7758,0.013,30,80,9.0,"[-4.0575, 7.0592]"
rastrigin,300,"[1.9919, 1.0024]",4.9866,0.002,10,30,1.4,"[-0.6475, 9.9204]"
rastrigin,300,"[-0.9728, 1.0151]",2.1676,0.0079,50,30,0.7,"[-8.5088, 1.8213]"
rastrigin,700,"[0.0611, -0.035]",0.9737,0.0085,20,70,1.4,"[-9.5883, 7.6359]"
rastrigin,700,"[-0.0445, -0.0185]",0.4585,0.0187,50,70,6.4,"[-6.7672, 5.0858]"
rastrigin,400,"[0.9461, 1.0348]",2.7727,0.0067,30,40,3.6,"[-2.6254, 9.619]"
rastrigin,100,"[-0.1503, 0.0699]",5.1141,0.002,30,10,7.0,"[-6.4319, 8.9]"
rastrigin,500,"[0.0417, -0.948]",1.7697,0.003,10,50,8.1,"[-8.9048, 1.3159]"
rastrigin,700,"[-0.053, 0.8474]",5.5255,0.0045,10,70,9.7,"[-8.3603, 5.3706]"
rastrigin,100,"[-1.1097, -0.9019]",6.1679,0.003,50,10,8.4,"[-6.1363, 5.7512]"
rastrigin,400,"[-0.996, 0.8812]",4.4308,0.007,30,40,9.2,"[-9.2428, 0.7114]"
rastrigin,500,"[0.951, -0.9115]",3.7135,0.004,10,50,7.7,"[-6.5638, 5.9335]"
rastrigin,800,"[-0.0062, -0.0131]",0.0413,0.0174,40,80,1.3,"[-0.0977, 0.0044]"
