Iterations,Function,Best Solution,Best Fitness,Execution Time (s),Step Size,Domain
800,rastrigin,"[0.9106, -0.0028]",2.3675,0.0075,5.4,"[-5.012, 0.9106]"
300,rastrigin,"[-0.9583, -0.01]",1.2794,0.003,1.3,"[-1.5334, 8.2702]"
200,rastrigin,"[-2.0234, -0.1074]",6.4044,0.002,7.9,"[-4.3556, 1.8469]"
300,rastrigin,"[-0.8828, -0.0572]",4.0126,0.0027,7.2,"[-3.5845, 1.1645]"
10,rastrigin,"[3.9097, 4.009]",32.9416,0.0,9.2,"[-7.7986, 8.3629]"
10,rastrigin,"[6.0295, 6.7088]",94.0934,0.0,3.7,"[-4.9365, 9.4102]"
1000,rastrigin,"[0.0515, 0.0825]",1.8422,0.0095,7.6,"[-1.8164, 4.3141]"
50,rastrigin,"[-0.9944, -4.9559]",25.9373,0.0,0.4,"[-9.7374, 3.1598]"
50,rastrigin,"[-0.9747, 0.8243]",7.2555,0.0,2.2,"[-9.5586, 8.4528]"
900,rastrigin,"[-0.045, -0.1093]",2.6768,0.008,7.6,"[-5.8239, 2.2326]"
10,rastrigin,"[-0.7449, 2.1096]",17.5997,0.0,1.6,"[-2.6288, 4.7951]"
700,rastrigin,"[1.001, 0.9333]",2.7387,0.006,7.0,"[-2.6932, 8.0993]"
10,rastrigin,"[1.8193, -2.9566]",18.2028,0.0,5.2,"[-6.4312, 6.6257]"
10,rastrigin,"[-3.9487, 4.9691]",40.9877,0.0001,0.3,"[-8.0722, 6.3551]"
800,rastrigin,"[-0.007, 0.0367]",0.2755,0.0083,1.1,"[-7.9912, 4.9123]"
100,rastrigin,"[-0.0405, 0.1101]",2.6351,0.001,6.6,"[-6.9862, 5.4892]"
500,rastrigin,"[-0.9856, -0.037]",1.2827,0.005,7.6,"[-5.791, 7.8116]"
100,rastrigin,"[-1.9945, -0.0564]",4.6084,0.001,2.3,"[-8.9284, 2.3335]"
300,rastrigin,"[-0.8862, 0.8181]",9.751,0.002,7.3,"[-1.6347, 8.2705]"
600,rastrigin,"[-0.8761, 0.0321]",3.8511,0.0059,8.7,"[-5.0054, 2.3751]"
800,rastrigin,"[-0.9726, 0.9983]",2.091,0.0075,9.0,"[-4.0575, 7.0592]"
300,rastrigin,"[0.0327, 0.0591]",0.8972,0.0026,1.4,"[-0.6475, 9.9204]"
300,rastrigin,"[-4.9719, -4.1181]",44.4625,0.003,0.7,"[-8.5088, 1.8213]"
700,rastrigin,"[0.0325, 0.0486]",0.6731,0.0066,1.4,"[-9.5883, 7.6359]"
700,rastrigin,"[0.0381, -0.9459]",1.7534,0.0063,6.4,"[-6.7672, 5.0858]"
400,rastrigin,"[1.0286, 0.009]",1.2348,0.0041,3.6,"[-2.6254, 9.619]"
100,rastrigin,"[-2.9073, -1.0004]",11.1017,0.001,7.0,"[-6.4319, 8.9]"
500,rastrigin,"[-0.0708, 0.1252]",3.934,0.0052,8.1,"[-8.9048, 1.3159]"
700,rastrigin,"[0.0018, 1.0522]",1.6408,0.007,9.7,"[-8.3603, 5.3706]"
100,rastrigin,"[2.0647, 0.1012]",7.0439,0.001,8.4,"[-6.1363, 5.7512]"
400,rastrigin,"[0.0892, -0.8215]",7.8669,0.004,9.2,"[-9.2428, 0.7114]"
500,rastrigin,"[0.9661, -0.9638]",2.3464,0.0045,7.7,"[-6.5638, 5.9335]"
800,rastrigin,"[-0.0014, 0.0044]",0.0043,0.008,1.3,"[-0.0977, 0.0044]"
300,rastrigin,"[0.0269, -1.0338]",1.4368,0.003,3.6,"[-1.0687, 8.2762]"
