Function,Iterations,Best Solution,Best Fitness,Execution Time (s),Step Size,Domain
rastrigin,800,"[0.0014, 0.9106]",2.3663,0.008,5.4,"[-5.012, 0.9106]"
rastrigin,300,"[-0.0376, 0.0677]",1.1739,0.0041,1.3,"[-1.5334, 8.2702]"
rastrigin,200,"[1.016, -0.9961]",2.0779,0.002,7.9,"[-4.3556, 1.8469]"
rastrigin,300,"[-0.9295, 0.0214]",1.9197,0.003,7.2,"[-3.5845, 1.1645]"
rastrigin,10,"[5.0381, 1.7668]",37.7356,0.001,9.2,"[-7.7986, 8.3629]"
rastrigin,10,"[0.0165, 1.154]",5.7105,0.0,3.7,"[-4.9365, 9.4102]"
rastrigin,1000,"[0.0092, 0.9954]",1.0118,0.0095,7.6,"[-1.8164, 4.3141]"
rastrigin,50,"[2.0163, -4.9658]",29.0068,0.0016,0.4,"[-9.7374, 3.1598]"
rastrigin,50,"[0.022, 0.9645]",1.2734,0.001,2.2,"[-9.5586, 8.4528]"
rastrigin,900,"[-0.0739, -1.0438]",2.5285,0.009,7.6,"[-5.8239, 2.2326]"
rastrigin,10,"[2.9327, 0.842]",14.7269,0.0,1.6,"[-2.6288, 4.7951]"
rastrigin,700,"[-0.9151, -1.046]",3.7363,0.0071,7.0,"[-2.6932, 8.0993]"
rastrigin,10,"[-0.8378, 1.2632]",17.8883,0.0,5.2,"[-6.4312, 6.6257]"
rastrigin,10,"[-4.0996, 4.081]",36.6222,0.0,0.3,"[-8.0722, 6.3551]"
rastrigin,800,"[-0.0284, 0.0371]",0.4303,0.0076,1.1,"[-7.9912, 4.9123]"
rastrigin,100,"[-0.9159, -2.9412]",11.5294,0.0016,6.6,"[-6.9862, 5.4892]"
rastrigin,500,"[0.9383, -0.0374]",1.8975,0.005,7.6,"[-5.791, 7.8116]"
rastrigin,100,"[-0.0312, 0.0215]",0.2849,0.001,2.3,"[-8.9284, 2.3335]"
rastrigin,300,"[0.0962, -0.9552]",3.0884,0.0042,7.3,"[-1.6347, 8.2705]"
rastrigin,600,"[-0.8969, 0.9505]",4.2143,0.0058,8.7,"[-5.0054, 2.3751]"
rastrigin,800,"[-1.0407, -0.036]",1.6642,0.0083,9.0,"[-4.0575, 7.0592]"
rastrigin,300,"[1.0005, 1.009]",2.0352,0.0035,1.4,"[-0.6475, 9.9204]"
rastrigin,300,"[-5.043, -2.0509]",30.5076,0.0036,0.7,"[-8.5088, 1.8213]"
rastrigin,700,"[0.0135, -0.0123]",0.0659,0.0069,1.4,"[-9.5883, 7.6359]"
rastrigin,700,"[0.9732, -0.9378]",2.7231,0.0071,6.4,"[-6.7672, 5.0858]"
rastrigin,400,"[-0.9894, 0.0692]",1.9363,0.004,3.6,"[-2.6254, 9.619]"
rastrigin,100,"[0.0425, -1.9063]",5.6733,0.001,7.0,"[-6.4319, 8.9]"
rastrigin,500,"[1.0497, 0.0397]",1.8969,0.005,8.1,"[-8.9048, 1.3159]"
rastrigin,700,"[0.9275, 0.0279]",2.0344,0.007,9.7,"[-8.3603, 5.3706]"
rastrigin,100,"[1.0254, 2.9383]",10.554,0.0012,8.4,"[-6.1363, 5.7512]"
rastrigin,400,"[-1.0573, -0.9303]",3.5696,0.0043,9.2,"[-9.2428, 0.7114]"
rastrigin,500,"[0.0675, 0.8792]",4.4105,0.005,7.7,"[-6.5638, 5.9335]"
rastrigin,800,"[0.0021, 0.0044]",0.0048,0.0076,1.3,"[-0.0977, 0.0044]"
rastrigin,300,"[-0.0044, -1.0687]",2.0627,0.004,3.6,"[-1.0687, 8.2762]"
rastrigin,1000,"[0.002, -0.0516]",0.5243,0.0096,9.4,"[-0.0516, 1.9418]"
rastrigin,200,"[0.8779, -1.0592]",5.3794,0.002,9.4,"[-3.2986, 1.9336]"
rastrigin,50,"[0.0302, 1.9944]",4.1644,0.0,5.2,"[-6.2003, 5.0741]"
rastrigin,100,"[0.9027, -0.0404]",2.9481,0.001,5.2,"[-3.7744, 0.9027]"
rastrigin,700,"[0.9846, -0.0315]",1.2123,0.0064,3.0,"[-8.162, 4.2175]"
rastrigin,1000,"[0.0382, 0.9842]",1.3061,0.0099,4.3,"[-7.7343, 2.185]"
rastrigin,300,"[-0.0587, 0.0449]",1.0746,0.004,3.3,"[-7.9904, 7.8075]"
rastrigin,400,"[0.9864, 0.0095]",1.0273,0.0041,0.5,"[-3.3509, 3.3578]"
rastrigin,900,"[0.102, -0.0884]",3.5036,0.009,5.0,"[-4.268, 1.2381]"
rastrigin,600,"[-2.9956, -8.9852]",89.754,0.0058,0.5,"[-9.9934, 0.6454]"
rastrigin,500,"[0.0164, -1.0309]",1.3041,0.006,8.3,"[-4.5094, 4.9348]"
rastrigin,400,"[0.013, 0.9977]",1.03,0.006,8.8,"[-9.0505, 0.9977]"
rastrigin,900,"[1.058, -0.1663]",6.7825,0.0088,8.6,"[-0.4173, 9.6698]"
rastrigin,1000,"[-1.0122, -0.9651]",2.2253,0.0096,9.3,"[-9.6629, 5.7383]"
rastrigin,900,"[-1.0483, 0.0308]",1.744,0.0088,5.2,"[-3.9455, 2.9724]"
rastrigin,800,"[-1.0068, 0.911]",3.3769,0.0079,5.3,"[-5.7364, 8.3976]"
rastrigin,1000,"[0.0323, 0.019]",0.2771,0.0096,1.7,"[-2.1617, 1.4697]"
rastrigin,700,"[-0.0463, -0.0317]",0.6221,0.0065,3.4,"[-4.2741, 1.5867]"
rastrigin,1000,"[-1.0372, 0.0635]",2.1364,0.0097,4.8,"[-9.7783, 3.0418]"
rastrigin,300,"[-1.0136, -1.0871]",3.7075,0.003,2.0,"[-8.4252, 5.0323]"
rastrigin,900,"[-0.039, 0.9974]",1.2961,0.0087,4.7,"[-2.5538, 6.2496]"
rastrigin,900,"[1.9879, 0.9876]",4.9864,0.0089,0.3,"[-3.4675, 9.8957]"
rastrigin,300,"[0.0656, -1.9505]",5.1257,0.003,1.6,"[-8.2458, 8.0066]"
rastrigin,100,"[1.0283, 0.9192]",3.3217,0.001,2.5,"[-4.7565, 4.9726]"
rastrigin,700,"[1.0158, 0.0222]",1.1788,0.0068,5.4,"[-8.5427, 1.2892]"
rastrigin,50,"[-3.0789, 0.0475]",11.1286,0.0006,5.8,"[-3.7494, 1.4288]"
rastrigin,200,"[0.0356, 0.9836]",1.2708,0.001,9.7,"[-3.4166, 8.6068]"
rastrigin,500,"[0.007, -0.0534]",0.5707,0.0048,2.0,"[-3.3706, 1.0171]"
rastrigin,600,"[1.0042, 0.9028]",3.6356,0.0059,6.3,"[-6.987, 2.7913]"
rastrigin,600,"[0.0381, 0.9562]",1.5779,0.006,9.5,"[-9.2255, 2.6656]"
rastrigin,500,"[0.0723, -1.0371]",2.3654,0.0048,4.8,"[-4.5992, 9.5933]"
rastrigin,1000,"[0.016, -0.0444]",0.4389,0.0097,2.8,"[-1.5172, 6.0947]"
rastrigin,200,"[-0.9871, -0.8497]",5.8651,0.001,8.9,"[-1.7216, 2.1707]"
rastrigin,500,"[-1.045, -0.072]",2.5013,0.005,7.0,"[-6.2362, 7.4283]"
rastrigin,1000,"[0.9874, -0.9982]",2.0034,0.0099,5.4,"[-3.8872, 9.4251]"
rastrigin,800,"[0.0486, 0.0523]",1.0027,0.0078,1.8,"[-6.9588, 8.4949]"
rastrigin,700,"[-1.079, -1.1121]",5.9856,0.007,8.5,"[-2.6982, 3.6608]"
rastrigin,100,"[2.9989, 1.7729]",20.703,0.001,8.9,"[-6.9923, 9.944]"
rastrigin,300,"[-0.1143, -1.0027]",3.4882,0.0027,7.1,"[-2.9073, 5.9666]"
rastrigin,500,"[0.0411, 0.0358]",0.5867,0.0045,3.4,"[-9.1027, 4.0792]"
rastrigin,200,"[0.0404, 0.0001]",0.3219,0.0016,1.2,"[-6.6072, 0.0404]"
rastrigin,500,"[0.0496, -0.8737]",4.2351,0.005,5.1,"[-5.8166, 1.3225]"
rastrigin,700,"[-2.9869, -3.9944]",24.9166,0.007,0.7,"[-7.7442, 3.1901]"
rastrigin,400,"[-0.0501, 0.009]",0.5101,0.0044,1.8,"[-9.7751, 6.2306]"
rastrigin,800,"[-0.044, -0.9241]",2.352,0.008,10.0,"[-3.1934, 4.5666]"
rastrigin,500,"[-0.0116, -1.104]",3.3058,0.005,6.8,"[-1.104, 4.8354]"
rastrigin,10,"[-0.7877, 1.8937]",14.0087,0.0,1.0,"[-1.1013, 9.9355]"
rastrigin,600,"[-0.1055, 1.0742]",4.3502,0.0049,9.9,"[-3.0673, 9.4986]"
rastrigin,900,"[0.977, 0.0103]",1.0798,0.0086,0.8,"[-2.0803, 1.9347]"
rastrigin,1000,"[-0.0676, 0.1157]",3.4373,0.0096,7.0,"[-5.6555, 6.8776]"
rastrigin,200,"[2.0053, -0.001]",4.0268,0.0016,3.1,"[-2.2954, 2.0053]"
rastrigin,100,"[-1.1257, -0.8057]",11.4522,0.001,8.0,"[-8.323, 3.6363]"
rastrigin,1000,"[-0.0006, 0.0146]",0.0424,0.0102,1.4,"[-2.5898, 8.6586]"
rastrigin,400,"[-0.1059, 0.0188]",2.2129,0.0041,1.7,"[-6.2899, 8.8793]"
rastrigin,100,"[-2.0674, 4.0193]",21.3844,0.001,0.9,"[-3.4447, 4.8444]"
rastrigin,800,"[-2.9834, 1.9941]",12.9383,0.0079,0.2,"[-5.0803, 7.0489]"
rastrigin,300,"[-0.8836, -1.0929]",6.1891,0.003,6.5,"[-7.4343, 7.8709]"
rastrigin,700,"[-0.0034, -0.0945]",1.7219,0.006,2.9,"[-0.4231, 7.3408]"
rastrigin,400,"[1.8543, -2.0449]",11.9188,0.004,9.7,"[-7.8675, 8.351]"
rastrigin,100,"[0.026, -1.1929]",8.0448,0.001,8.3,"[-8.6063, 1.2023]"
rastrigin,10,"[1.0513, 3.0548]",11.5392,0.0,2.3,"[-6.0093, 6.455]"
rastrigin,1000,"[-0.0478, 0.9444]",1.9455,0.0098,5.2,"[-3.8977, 1.1697]"
rastrigin,50,"[0.0582, 1.7706]",12.5078,0.001,3.4,"[-7.1972, 1.7706]"
rastrigin,1000,"[0.0034, -0.8882]",3.158,0.0098,7.6,"[-0.8882, 8.0351]"
